assembly_accession	organism_name	species_key	assembly_level	status	genome_source	assembly_status	assembly_reason	first_pass_status	locus_n_fraction	locus_longest_n_run	locus_low_complexity	warnings	exon	exon_index	reference_nt	reference_aa_start	reference_aa_end	original_coverage	original_callable_fraction	original_identity	original_confidence	protein_model_aa_coverage	sensitive_blast_coverage	sensitive_blast_identity	sensitive_blast_bitscore	exon_verdict	original_n_context
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_3	3	837	167	445	0.7825567502986858	0.7825567502986858	0.8824427480916031	HIGH	0.9175627240143369	0.8064516129032258	0.856293688888889	781.0	PARTIAL_OR_CONFLICTING	"{""length"": 989, ""longest_n_run"": 134, ""n_count"": 183, ""n_fraction"": 0.18503538928210314, ""n_runs"": 2}"
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_4	4	213	446	516	0.0	0.0	0.0	UNRESOLVED	0.8169014084507042	0.07981220657276995	1.0	31.9	RESCUED_AT_PROTEIN_LEVEL	"{""length"": 0, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": NaN, ""n_runs"": 0}"
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_5	5	124	517	558	0.6612903225806451	0.6612903225806451	0.9024390243902439	MEDIUM	1.0	0.6612903225806451	0.90244	113.0	RESCUED_AT_PROTEIN_LEVEL	"{""length"": 282, ""longest_n_run"": 100, ""n_count"": 100, ""n_fraction"": 0.3546099290780142, ""n_runs"": 1}"
GCA_000005525.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.6420995115043703	93578.0	True		exon_6	6	1115	558	929	0.8062780269058296	0.8035874439461883	0.8694196428571429	HIGH	0.9731182795698925	0.8547085201793722	0.8418835706806281	1055.0	RECOVERED_CONCORDANT	"{""length"": 1174, ""longest_n_run"": 70, ""n_count"": 136, ""n_fraction"": 0.11584327086882454, ""n_runs"": 4}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_1	1	194	1	65	0.8917525773195877	0.8917525773195877	0.8786127167630058	HIGH	1.0	0.8969072164948454	0.8735599999999999	212.0	RECOVERED_CONCORDANT	"{""length"": 373, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_2	2	304	65	166	1.0	1.0	0.9046052631578947	HIGH	1.0	1.0	0.90461	418.0	RECOVERED_CONCORDANT	"{""length"": 504, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_3	3	837	167	445	0.946236559139785	0.9354838709677419	0.8825031928480205	HIGH	0.978494623655914	0.966547192353644	0.85414	944.0	RECOVERED_CONCORDANT	"{""length"": 992, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_4	4	213	446	516	0.9953051643192489	0.9953051643192489	0.9056603773584906	HIGH	0.971830985915493	1.0	0.9022199999999998	304.8	RECOVERED_CONCORDANT	"{""length"": 1140, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_5	5	124	517	558	0.9919354838709677	0.9838709677419355	0.9098360655737705	HIGH	1.0	0.9919354838709677	0.9027783333333335	198.1	RECOVERED_CONCORDANT	"{""length"": 323, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000247795.2	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.22797630385552972	91875.0	True		exon_6	6	1115	558	929	0.9641255605381166	0.9623318385650225	0.8760484622553588	HIGH	0.9650537634408602	1.0	0.84229	1233.0	RECOVERED_CONCORDANT	"{""length"": 1276, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_1	1	194	1	65	0.9432989690721649	0.9432989690721649	0.8524590163934426	HIGH	0.9846153846153847	0.9690721649484536	0.8125	179.0	RECOVERED_CONCORDANT	"{""length"": 387, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_2	2	304	65	166	1.0	1.0	0.9013157894736842	HIGH	1.0	1.0	0.8983599999999999	407.0	RECOVERED_CONCORDANT	"{""length"": 505, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_3	3	837	167	445	0.9689366786140979	0.9689366786140979	0.8877928483353884	HIGH	0.9713261648745519	0.98805256869773	0.8706160822249093	1015.0	RECOVERED_CONCORDANT	"{""length"": 1171, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_4	4	213	446	516	0.8732394366197183	0.8732394366197183	0.8978494623655914	HIGH	1.0	1.0	0.8800016444444445	282.3	RECOVERED_CONCORDANT	"{""length"": 386, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_5	5	124	517	558	0.9919354838709677	0.9919354838709677	0.8943089430894309	HIGH	1.0	0.9919354838709677	0.8943099999999999	164.0	RECOVERED_CONCORDANT	"{""length"": 323, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298735.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.014145718593274053	2573.0	True		exon_6	6	1115	558	929	0.9524663677130045	0.9524663677130045	0.8700564971751412	HIGH	0.967741935483871	0.9847533632286996	0.84	1203.0	RECOVERED_CONCORDANT	"{""length"": 1264, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_1	1	194	1	65	0.8917525773195877	0.8917525773195877	0.8728323699421965	HIGH	0.9538461538461539	0.8969072164948454	0.8678199999999999	207.0	RECOVERED_CONCORDANT	"{""length"": 373, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_2	2	304	65	166	1.0	1.0	0.8980263157894737	HIGH	1.0	1.0	0.89803	409.0	RECOVERED_CONCORDANT	"{""length"": 504, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_3	3	837	167	445	0.946236559139785	0.946236559139785	0.8762626262626263	HIGH	0.985663082437276	0.966547192353644	0.8473700000000001	916.0	RECOVERED_CONCORDANT	"{""length"": 1002, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_4	4	213	446	516	0.8732394366197183	0.8732394366197183	0.9086021505376344	HIGH	0.971830985915493	1.0	0.8977748444444444	300.3	RECOVERED_CONCORDANT	"{""length"": 386, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_5	5	124	517	558	0.9919354838709677	0.9919354838709677	0.9186991869918699	HIGH	1.0	0.9919354838709677	0.9166670833333335	208.1	RECOVERED_CONCORDANT	"{""length"": 323, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000298355.1	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05875263706102105	3713.0	True		exon_6	6	1115	558	929	0.9641255605381166	0.9641255605381166	0.8706976744186047	HIGH	0.9650537634408602	1.0	0.83871	1212.0	RECOVERED_CONCORDANT	"{""length"": 1276, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_1	1	194	1	65	0.8917525773195877	0.8917525773195877	0.8728323699421965	HIGH	1.0	0.8969072164948454	0.8678199999999999	207.0	RECOVERED_CONCORDANT	"{""length"": 373, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_2	2	304	65	166	1.0	1.0	0.9046052631578947	HIGH	1.0	1.0	0.90461	418.0	RECOVERED_CONCORDANT	"{""length"": 504, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_3	3	837	167	445	0.946236559139785	0.946236559139785	0.8825757575757576	HIGH	0.978494623655914	0.966547192353644	0.8640300000000001	966.0	RECOVERED_CONCORDANT	"{""length"": 992, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_4	4	213	446	516	0.9953051643192489	0.9953051643192489	0.9056603773584906	HIGH	0.971830985915493	1.0	0.9022199999999998	304.8	RECOVERED_CONCORDANT	"{""length"": 1140, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_5	5	124	517	558	0.9596774193548387	0.9596774193548387	0.8907563025210085	HIGH	1.0	0.9596774193548387	0.89286	187.1	RECOVERED_CONCORDANT	"{""length"": 319, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003055.5	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.007791688224760681	2369.0	True		exon_6	6	1115	558	929	0.9641255605381166	0.9641255605381166	0.8734883720930232	HIGH	0.9650537634408602	1.0	0.8414	1225.0	RECOVERED_CONCORDANT	"{""length"": 1276, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_1	1	194	1	65	0.8917525773195877	0.8917525773195877	0.8728323699421965	HIGH	1.0	0.8969072164948454	0.8678199999999999	207.0	RECOVERED_CONCORDANT	"{""length"": 373, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_2	2	304	65	166	1.0	1.0	0.9046052631578947	HIGH	1.0	1.0	0.90461	418.0	RECOVERED_CONCORDANT	"{""length"": 504, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_3	3	837	167	445	0.946236559139785	0.946236559139785	0.8825757575757576	HIGH	0.978494623655914	0.966547192353644	0.8640300000000001	966.0	RECOVERED_CONCORDANT	"{""length"": 992, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_4	4	213	446	516	0.9953051643192489	0.9953051643192489	0.9056603773584906	HIGH	0.971830985915493	1.0	0.9022199999999998	304.8	RECOVERED_CONCORDANT	"{""length"": 1140, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_5	5	124	517	558	0.9596774193548387	0.9596774193548387	0.8907563025210085	HIGH	1.0	0.9596774193548387	0.89286	187.1	RECOVERED_CONCORDANT	"{""length"": 319, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000003205.6	Bos taurus	Bos taurus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.003440960314514159	1389.0	True		exon_6	6	1115	558	929	0.9641255605381166	0.9641255605381166	0.8734883720930232	HIGH	0.9650537634408602	1.0	0.8414	1225.0	RECOVERED_CONCORDANT	"{""length"": 1276, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_1	1	194	1	65	0.9432989690721649	0.9432989690721649	0.8579234972677595	HIGH	0.9846153846153847	0.9690721649484536	0.83069	189.0	RECOVERED_CONCORDANT	"{""length"": 384, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_2	2	304	65	166	1.0	1.0	0.8914473684210527	HIGH	1.0	1.0	0.8885200000000001	394.0	RECOVERED_CONCORDANT	"{""length"": 505, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_3	3	837	167	445	0.973715651135006	0.973715651135006	0.8846625766871166	HIGH	0.953405017921147	0.992831541218638	0.8676279302045726	1010.0	RECOVERED_CONCORDANT	"{""length"": 1156, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_4	4	213	446	516	0.863849765258216	0.863849765258216	0.8804347826086957	HIGH	0.9859154929577465	1.0	0.874442869955157	274.3	RECOVERED_CONCORDANT	"{""length"": 384, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_5	5	124	517	558	0.9919354838709677	0.9919354838709677	0.9105691056910569	HIGH	1.0	0.9919354838709677	0.920290652173913	201.3	RECOVERED_CONCORDANT	"{""length"": 323, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000400835.1	Pantholops hodgsonii	Pantholops hodgsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09491069426799192	5536.0	True		exon_6	6	1115	558	929	0.9533632286995516	0.9533632286995516	0.8720602069614299	HIGH	0.967741935483871	0.9847533632286996	0.84273	1220.0	RECOVERED_CONCORDANT	"{""length"": 1265, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_1	1	194	1	65	0.9432989690721649	0.9432989690721649	0.8469945355191257	HIGH	0.9846153846153847	0.9690721649484536	0.80729	175.0	RECOVERED_CONCORDANT	"{""length"": 387, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_2	2	304	65	166	1.0	1.0	0.8947368421052632	HIGH	1.0	1.0	0.8918	398.0	RECOVERED_CONCORDANT	"{""length"": 505, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_3	3	837	167	445	0.96415770609319	0.96415770609319	0.8835192069392813	HIGH	0.96415770609319	0.992831541218638	0.8580011191335741	981.0	RECOVERED_CONCORDANT	"{""length"": 1157, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_4	4	213	446	516	0.9953051643192489	0.9953051643192489	0.8962264150943396	HIGH	1.0	1.0	0.8933354222222222	295.8	RECOVERED_CONCORDANT	"{""length"": 1140, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_5	5	124	517	558	0.9919354838709677	0.9919354838709677	0.9105691056910569	HIGH	1.0	0.9919354838709677	0.91057	173.0	RECOVERED_CONCORDANT	"{""length"": 323, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
GCA_000317765.2	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.028587769923631597	6427.0	True		exon_6	6	1115	558	929	0.9533632286995516	0.9533632286995516	0.8701787394167451	HIGH	0.967741935483871	0.9847533632286996	0.8409099999999999	1211.0	RECOVERED_CONCORDANT	"{""length"": 1265, ""longest_n_run"": 0, ""n_count"": 0, ""n_fraction"": 0.0, ""n_runs"": 0}"
