assembly_accession	organism_name	species_key	assembly_level	status	genome_source	assembly_status	assembly_reason	first_pass_status	locus_n_fraction	locus_longest_n_run	locus_low_complexity	warnings
GCA_002968435.1	Bos mutus	Bos mutus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.048440542808100555	3713.0	True	
GCA_002742125.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_003121395.1	Bubalus bubalis	Bubalus bubalis	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_002933975.1	Bos indicus	Bos indicus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.010177348618912056	2368.0	True	
GCA_003121645.1	Ovis ammon	Ovis ammon	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.006235942139094099	2325.0	True	
GCA_002993835.1	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.10402503150329034	3920.0	True	
GCA_003182575.1	Pseudois nayaur	Pseudois nayaur	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_003182615.2	Capra sibirica	Capra sibirica	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0006925274365904566	181.0	True	
GCA_003697985.1	Odocoileus hemionus sitkensis	Odocoileus hemionus	Scaffold	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	True	
GCA_003369685.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_003369695.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_003798545.1	Axis porcinus	Axis porcinus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03714572407656336	6907.0	True	
GCA_003945745.1	Oryx gazella	Oryx gazella	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04059077134349643	2458.0	True	
GCA_004024965.2	Tragulus javanicus	Tragulus javanicus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0027463365831649567	100.0	True	
GCA_004024705.2	Moschus moschiferus	Moschus moschiferus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.055329812634435795	1000.0	True	
GCA_004024985.1	Saiga tatarica	Saiga tatarica	Scaffold	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	True	
GCA_004026565.1	Rangifer tarandus	Rangifer tarandus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_004026825.1	Nilgiritragus hylocrius	Nilgiritragus hylocrius	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_004027495.1	Beatragus hunteri	Beatragus hunteri	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_004115125.1	Odocoileus hemionus hemionus	Odocoileus hemionus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.00013455845603783015	24.0	True	
GCA_004026945.1	Ovis canadensis	Ovis canadensis	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_004027515.2	Antilocapra americana	Antilocapra americana	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02889416260864205	1000.0	True	
GCA_004794615.1	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03969117760172294	2541.0	True	
GCA_004361675.1	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.2664691486731735	21124.0	True	
GCA_006408465.1	Cervus albirostris	Cervus albirostris	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04999767596795934	8862.0	True	
GCA_005887515.3	Bos grunniens	Bos grunniens	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_006408485.1	Muntiacus crinifrons	Muntiacus crinifrons	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0017721445838831155	10.0	True	
GCA_006408565.1	Giraffa camelopardalis	Giraffa camelopardalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02193336562785941	3191.0	True	
GCA_006408525.1	Muntiacus reevesi	Muntiacus reevesi	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_006408505.1	Damaliscus lunatus	Damaliscus lunatus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0490048976042905	7443.0	True	
GCA_006408585.1	Antidorcas marsupialis	Antidorcas marsupialis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05903588082955057	9747.0	True	
GCA_006408615.1	Connochaetes taurinus	Connochaetes taurinus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.00709669127097793	770.0	True	
GCA_006408545.1	Alcelaphus buselaphus	Alcelaphus buselaphus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.8427709111813739	6360.0	False	
GCA_006408635.1	Nanger granti	Nanger granti	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.21847349682149866	3326.0	True	
GCA_006408675.1	Madoqua kirkii	Madoqua kirkii	Scaffold	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	True	
GCA_006408655.1	Tragulus kanchil	Tragulus kanchil	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.31954892229217857	10873.0	True	
GCA_006408695.1	Aepyceros melampus	Aepyceros melampus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.004085556996716107	470.0	True	
GCA_006408755.1	Eudorcas thomsonii	Eudorcas thomsonii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0032735382526907788	713.0	True	
GCA_006408785.2	Syncerus caffer	Syncerus caffer	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.018834971803818226	6763.0	True	
GCA_006408735.1	Sylvicapra grimmia	Sylvicapra grimmia	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.15725213388554865	9166.0	True	
GCA_006409035.1	Muntiacus muntjak	Muntiacus muntjak	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02518110361315997	8234.0	True	
GCA_006410495.1	Tragelaphus scriptus	Tragelaphus scriptus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.08042240188699741	8915.0	True	
GCA_006410515.1	Procapra przewalskii	Procapra przewalskii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03917895423082086	7349.0	True	
GCA_006410555.1	Capra ibex	Capra ibex	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0007002221858859061	181.0	True	
GCA_006410535.1	Litocranius walleri	Litocranius walleri	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02675439606407393	7401.0	True	
GCA_006410575.1	Oryx gazella	Oryx gazella	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04059077134349643	2458.0	True	
GCA_006410595.1	Ovis ammon	Ovis ammon	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.08002029625614798	6270.0	True	
GCA_006410615.1	Neotragus moschatus	Neotragus moschatus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.04019944023971613	6333.0	True	
GCA_006410635.1	Cephalophus harveyi	Cephalophus harveyi	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0037701522308560657	1212.0	True	
GCA_006410655.1	Kobus ellipsiprymnus	Kobus ellipsiprymnus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.07577776340469569	4461.0	True	
GCA_006410675.1	Oreotragus oreotragus	Oreotragus oreotragus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.056406508888583395	5827.0	True	
GCA_006410695.1	Philantomba maxwellii	Philantomba maxwellii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.1766230922198243	10392.0	True	
GCA_006410735.1	Raphicerus campestris	Raphicerus campestris	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.08288521676917573	8626.0	True	
GCA_006410795.1	Tragelaphus strepsiceros	Tragelaphus strepsiceros	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03665280911691106	2858.0	True	
GCA_006410755.1	Tragelaphus eurycerus	Tragelaphus eurycerus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.17617035659962818	682.0	True	
GCA_006410875.1	Neotragus pygmaeus	Neotragus pygmaeus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.03922581938999628	4902.0	True	
GCA_006410775.1	Tragelaphus imberbis	Tragelaphus imberbis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.19777013274734775	8227.0	True	
GCA_006410935.1	Redunca redunca	Redunca redunca	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.021762898046676596	2143.0	True	
GCA_006411685.1	Tragelaphus buxtoni	Tragelaphus buxtoni	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.2189311010946555	513.0	True	
GCA_006411015.1	Tragelaphus spekii	Tragelaphus spekii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.1054331172205635	8706.0	True	
GCA_006459105.1	Hydropotes inermis	Hydropotes inermis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0220103986135182	5000.0	True	
GCA_006459085.1	Moschus berezovskii	Moschus berezovskii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.08808180806569203	15000.0	True	
GCA_006417275.1	Ourebia ourebi	Ourebia ourebi	Scaffold	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	False	
GCA_006416875.1	Tragelaphus oryx	Tragelaphus oryx	Scaffold	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	False	
GCA_006942125.1	Hippotragus niger niger	Hippotragus niger	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.002951396237450794	736.0	True	
GCA_006461545.1	Moschus berezovskii	Moschus berezovskii	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.042198545729436814	9309.0	True	
GCA_007570765.1	Alces alces	Alces alces	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.09856486981089671	30000.0	True	
GCA_006461725.1	Moschus chrysogaster	Moschus chrysogaster	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.5044106174864481	9718.0	True	
GCA_007570785.1	Antilocapra americana	Antilocapra americana	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.07782101167315175	25000.0	True	
GCA_007646595.3	Bos mutus	Bos mutus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.026438864791849093	2656.0	True	
GCA_007844835.1	Bos frontalis	Bos frontalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05379356629053692	3228.0	True	
GCA_008787405.2	Muntiacus reevesi	Muntiacus reevesi	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0011729979712903939	400.0	True	
GCA_008931205.1	Muntiacus muntjak	Muntiacus muntjak	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02250935306437582	8087.0	True	
GCA_009493645.1	Bos grunniens x Bos taurus	Bos grunniens x Bos taurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_009493655.1	Bos grunniens x Bos taurus	Bos grunniens x Bos taurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_009758055.1	Oreamnos americanus	Oreamnos americanus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.008887948365252354	100.0	True	
GCA_008782695.1	Muntiacus muntjak	Muntiacus muntjak	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.01924911157946556	10000.0	True	
GCA_009823495.1	Capra hircus	Capra hircus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	1.923728031025886e-06	1.0	True	
GCA_010411085.1	Cervus hanglu yarkandensis	Cervus hanglu	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.049258220038135396	10000.0	True	
GCA_012070425.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Contig	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_011170295.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_011751665.1	Moschus moschiferus	Moschus moschiferus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.06679889997221185	5601.0	True	
GCA_012069665.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Contig	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_012070445.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Contig	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_012070465.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Contig	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_012070475.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_012070485.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_012922965.1	Capreolus pygargus	Capreolus pygargus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.06842207603436891	20000.0	True	
GCA_013496395.1	Giraffa tippelskirchi	Giraffa tippelskirchi	Chromosome	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.02193336562785941	3191.0	True	
GCA_014523465.1	Ovis orientalis	Ovis orientalis	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_014726795.1	Odocoileus virginianus	Odocoileus virginianus	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_014182915.2	Bos gaurus	Bos gaurus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_014898785.1	Rangifer tarandus granti	Rangifer tarandus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.013677607841099023	5000.0	True	
GCA_014754425.2	Oryx dammah	Oryx dammah	Scaffold	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	5.7718058826245557e-05	10.0	True	
GCA_014926565.1	Kobus leche leche	Kobus leche	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.004449845966870377	1014.0	True	
GCA_015832495.2	Alces alces	Alces alces	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.05487939682069757	6151.0	True	
GCA_018357025.1	Capra hircus	Capra hircus	Scaffold	ok	redownloaded	UNRESOLVED	No analyzable first-pass locus and no rescue model.	no_blast_hit				Original locus could not be extracted; local rescue unavailable.
GCA_015443085.1	Capra hircus	Capra hircus	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_016433095.1	Hippotragus equinus	Hippotragus equinus	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.0005771861406063918	120.0	True	
GCA_016772045.2	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_017591445.1	Giraffa camelopardalis rothschildi	Giraffa camelopardalis	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_017524585.1	Ovis aries	Ovis aries	Chromosome	ok	redownloaded	DISRUPTED_STRONG	Miniprot and Exonerate both support coding disruption with no intact local rescue.	ok	0.0	0.0	True	
GCA_017311355.1	Bos frontalis	Bos frontalis	Contig	ok	redownloaded	DISRUPTED_POSSIBLE	At least one original disruption has independent support, but the complete gene model is not decisive.	ok	0.0	0.0	True	
GCA_018282235.1	Giraffa camelopardalis antiquorum	Giraffa camelopardalis	Scaffold	ok	redownloaded	UNRESOLVED_ASSEMBLY_GAP	The candidate locus contains substantial ambiguous sequence.	ok	0.019636060414509167	5000.0	True	
