accession	organism_name	species	assembly_level	assembly_status	species_status	source	callable_fraction	reconstructed_fraction	n_fraction	explicit_deleted_nt	insertion_nt	sensitive_rescued_nt	internal_stop_count_naive	frame_remainder	supported_events	rescued_events	quality_score	warnings	selected_representative
GCA_000978405.1	Capra aegagrus	Capra aegagrus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	36	2	11	0	135.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_042477335.2	Ovis canadensis	Ovis canadensis	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9630426982418371	0.9630426982418371	0.012477064220183486	69	7	26	25	1	14	0	175.03757023712126	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054371585.1	Giraffa tippelskirchi	Giraffa tippelskirchi	Complete Genome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9881593110871906	0.9881593110871906	0.0018115942028985507	28	1	0	32	0	13	0	180.79781516669004	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_024291935.2	Okapia johnstoni	Okapia johnstoni	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9874416935773233	0.9874416935773233	0.0018129079042784628	30	1	0	40	1	10	0	177.72604027868957	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_910593805.2	Cervus elaphus	Cervus elaphus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9088625762468604	0.9088625762468604	0.0659582264565775	74	16	41	50	2	8	0	168.65233016614943	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_002201775.1	Ammotragus lervia	Ammotragus lervia	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9687836383207751	0.9687836383207751	0.010948905109489052	57	10	0	53	1	12	0	132.642875744525	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_021018665.1	Elaphurus davidianus	Elaphurus davidianus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9085037674919269	0.9085037674919269	0.06598240469208211	75	16	41	39	1	8	0	125.28756901064844	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_028583565.1	Ovis ammon polii	Ovis ammon	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010968921389396709	60	8	26	28	2	15	0	175.53503295524587	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_003182575.1	Pseudois nayaur	Pseudois nayaur	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9616074632221027	0.9616074632221027	0.014684287812041116	67	4	0	45	0	10	0	171.68277620250404	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_003182615.2	Capra sibirica	Capra sibirica	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9651955507714388	0.9651955507714388	0.011721611721611722	65	8	0	17	0	10	0	132.27633992347018	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_003369685.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	33	2	13	0	174.8736279091048	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_042767535.1	Odocoileus hemionus	Odocoileus hemionus	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9684248295658414	0.9684248295658414	0.001838235294117647	83	16	26	41	2	10	0	172.82410060364296	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054883215.1	Axis porcinus	Axis porcinus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9644779332615716	0.9644779332615716	0.002564102564102564	92	35	0	45	0	12	0	175.42215230051613	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_003945745.1	Oryx gazella	Oryx gazella	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9669895945461069	0.9669895945461069	0.011342846688620564	61	7	0	26	0	15	0	132.45953195126688	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_011751665.1	Moschus moschiferus	Moschus moschiferus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9809831359885182	0.9809831359885182	0.0029154518950437317	45	2	0	39	2	8	0	134.06915907990137	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_004024965.2	Tragulus javanicus	Tragulus javanicus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.5371367061356297	0.5371367061356297	0.45684736091298145	9	26	16	14	2	9	0	83.42940679617963	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_004024985.1	Saiga tatarica	Saiga tatarica	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.444205238607822	0.444205238607822	0.5489981785063752	42	0	0	14	0	8	0	88.77248260779983	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_949782905.1	Rangifer tarandus platyrhynchus	Rangifer tarandus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9673484033010405	0.9673484033010405	0.001840942562592047	86	15	26	26	1	12	0	175.71643090447813	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_004026825.1	Nilgiritragus hylocrius	Nilgiritragus hylocrius	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9583781844277001	0.9583781844277001	0.018328445747800588	66	7	59	31	1	13	0	171.24684480798933	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_004027495.1	Beatragus hunteri	Beatragus hunteri	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9590958019375673	0.9590958019375673	0.015090172984909826	73	3	0	46	2	10	0	171.5761048262834	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_051176575.2	Antilocapra americana	Antilocapra americana	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9734481521349121	0.9734481521349121	0.0018288222384784199	69	16	0	50	1	14	0	173.2996452706763	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_005887515.3	Bos grunniens	Bos grunniens	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.961248654467169	0.961248654467169	0.017889740781307048	59	11	26	31	0	12	0	174.7443321598486	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_046563475.2	Cervus albirostris	Cervus albirostris	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9002511661284536	0.9002511661284536	0.0747800586510264	74	15	17	21	1	9	0	167.70297083236426	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_020226055.1	Muntiacus crinifrons	Muntiacus crinifrons	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9712952996053104	0.9712952996053104	0.0018328445747800588	75	16	28	37	1	7	0	176.11120151478323	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408505.1	Damaliscus lunatus	Damaliscus lunatus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9594546106925009	0.9594546106925009	0.01471129091577786	73	5	0	22	1	12	0	131.61975699956884	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_020226045.1	Muntiacus reevesi	Muntiacus reevesi	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9705776820954432	0.9705776820954432	0.002559414990859232	75	23	26	33	2	11	0	176.03217405963574	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408545.1	Alcelaphus buselaphus	Alcelaphus buselaphus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.2447075708647291	0.2447075708647291	0.7544112351458409	10	0	0	4	2	4	0	38.51297278632558	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_017591445.1	Giraffa camelopardalis rothschildi	Giraffa camelopardalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9881593110871906	0.9881593110871906	0.0018115942028985507	28	1	0	33	0	15	0	177.79781516669004	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408585.1	Antidorcas marsupialis	Antidorcas marsupialis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9533548618586294	0.9533548618586294	0.00784167289021658	109	0	26	46	2	12	0	131.05194125183257	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408615.1	Connochaetes taurinus	Connochaetes taurinus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9583781844277001	0.9583781844277001	0.01582627898417372	73	3	0	48	2	11	0	131.50096449240482	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408635.1	Nanger granti	Nanger granti	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8823107283817725	0.8823107283817725	0.09882869692532943	58	3	48	37	2	12	0	119.34162402961779	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_022376925.1	Tragulus kanchil	Tragulus kanchil	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.5313957660566918	0.5313957660566918	0.4618945868945869	9	30	0	17	0	6	0	122.42409410601772	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408675.1	Madoqua kirkii	Madoqua kirkii	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.5357014711158953	0.5357014711158953	0.45731928804940064	35	1	0	31	2	12	0	103.2838895180308	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408695.1	Aepyceros melampus	Aepyceros melampus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9705776820954432	0.9705776820954432	0.006581352833638025	64	12	27	36	2	17	0	132.8960347448765	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408735.1	Sylvicapra grimmia	Sylvicapra grimmia	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9705776820954432	0.9705776820954432	0.0076979472140762464	61	2	0	47	1	18	0	132.90561182351698	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006408755.1	Eudorcas thomsonii	Eudorcas thomsonii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9149623250807319	0.9149623250807319	0.06346294937637564	64	3	53	21	2	13	0	123.97723952364018	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_902825105.1	Syncerus caffer	Syncerus caffer	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.7944025834230355	0.7944025834230355	0.18422991893883567	73	0	27	27	2	13	0	147.3163803917626	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_008782695.1	Muntiacus muntjak	Muntiacus muntjak	Chromosome	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9666307857911733	0.9666307857911733	0.002571638501102131	86	21	26	24	1	9	0	135.63736219410632	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410495.1	Tragelaphus scriptus	Tragelaphus scriptus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.47613921779691426	0.47613921779691426	0.5207506315409599	17	1	66	16	2	6	0	72.00557914409066	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410515.1	Procapra przewalskii	Procapra przewalskii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9651955507714388	0.9651955507714388	0.007746219107340465	76	0	28	39	2	13	0	132.13440057837815	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410535.1	Litocranius walleri	Litocranius walleri	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9655543595263725	0.9655543595263725	0.009204712812960236	71	0	0	43	1	11	0	132.24630247289215	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054642885.1	Capra ibex	Capra ibex	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.01098901098901099	65	8	0	17	0	10	0	175.3554276817829	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410615.1	Neotragus moschatus	Neotragus moschatus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.009177679882525698	70	7	0	45	0	21	0	132.2784819157741	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410635.1	Cephalophus harveyi	Cephalophus harveyi	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9637603157517043	0.9637603157517043	0.013577981651376147	64	2	0	32	1	15	0	132.16507484477006	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410655.1	Kobus ellipsiprymnus	Kobus ellipsiprymnus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9680660208109078	0.9680660208109078	0.004789977892409728	76	3	27	40	2	12	0	132.6835253882801	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410675.1	Oreotragus oreotragus	Oreotragus oreotragus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.7997847147470398	0.7997847147470398	0.18338213762811129	57	2	0	25	2	13	0	107.50269821611678	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410695.1	Philantomba maxwellii	Philantomba maxwellii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9494079655543596	0.9494079655543596	0.027787934186471665	65	13	0	34	2	18	0	130.58774029968464	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410735.1	Raphicerus campestris	Raphicerus campestris	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.5396483674201651	0.5396483674201651	0.4554992764109986	24	1	26	24	1	10	0	78.69677926484181	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_935064755.1	Tragelaphus eurycerus	Tragelaphus eurycerus	Contig	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.8923573735199138	0.8923573735199138	0.08394160583941605	70	23	19	33	1	16	0	161.09762479585547	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410775.1	Tragelaphus imberbis	Tragelaphus imberbis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8952278435593829	0.8952278435593829	0.08421436383521691	61	17	19	32	1	11	0	124.37895468322252	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410795.1	Tragelaphus strepsiceros	Tragelaphus strepsiceros	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8442770003588087	0.8442770003588087	0.1388184124682856	51	23	36	33	2	15	0	118.08270104974952	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410875.1	Neotragus pygmaeus	Neotragus pygmaeus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9077861499820595	0.9077861499820595	0.07132406730065838	62	9	0	22	1	15	0	122.73204099186604	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006410935.1	Redunca redunca	Redunca redunca	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9687836383207751	0.9687836383207751	0.006615214994487321	69	3	26	38	0	10	0	132.7220870851369	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006411015.1	Tragelaphus spekii	Tragelaphus spekii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8338715464657338	0.8338715464657338	0.14743356388787768	58	18	57	34	2	14	0	116.9560041462461	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006411685.1	Tragelaphus buxtoni	Tragelaphus buxtoni	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.5895227843559383	0.5895227843559383	0.397677793904209	48	17	94	16	2	7	0	83.36192454466483	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006416875.1	Tragelaphus oryx	Tragelaphus oryx	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_plus_refiner_sensitive_remnant	0.3710082526013635	0.3710082526013635	0.6185117967332123	49	17	19	7	1	4	0	75.38427267112297	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006417275.1	Ourebia ourebi	Ourebia ourebi	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.38751345532831	0.38751345532831	0.6075581395348837	35	0	0	6	1	3	0	77.08846255018058	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_049115385.1	Moschus berezovskii	Moschus berezovskii	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9781126659490491	0.9781126659490491	0.0018301610541727673	56	1	26	39	2	11	0	176.72423646202643	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_056247825.1	Hydropotes inermis	Hydropotes inermis	Complete Genome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.956584140653032	0.956584140653032	0.016489556614144377	76	18	24	35	2	9	0	177.44572877395268	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006461725.1	Moschus chrysogaster	Moschus chrysogaster	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.5536419088625762	0.5536419088625762	0.4399709829524846	31	1	0	10	0	6	0	83.85433763349637	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_006942125.1	Hippotragus niger niger	Hippotragus niger	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9594546106925009	0.9594546106925009	0.011061946902654867	83	8	0	40	0	14	0	131.70884256376596	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_964270355.1	Alces alces	Alces alces	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9626838894869035	0.9626838894869035	0.009174311926605505	79	17	26	41	1	10	0	172.1766458294243	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_043643345.1	Bos frontalis	Bos frontalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9608898457122353	0.9608898457122353	0.017961876832844576	60	1	26	42	1	15	0	174.6838350612353	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_009493655.1	Bos grunniens x Bos taurus	Bos grunniens x Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9601722282023681	0.9601722282023681	0.017961876832844576	62	3	0	40	1	15	0	174.76591946409474	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_009758055.1	Oreamnos americanus	Oreamnos americanus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.964119124506638	0.964119124506638	0.011363636363636364	69	10	0	38	1	13	0	132.16829457346907	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_010411085.1	Cervus hanglu yarkandensis	Cervus hanglu	Chromosome	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9088625762468604	0.9088625762468604	0.0659582264565775	74	16	41	52	2	9	0	128.65233016614943	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_012922965.1	Capreolus pygargus	Capreolus pygargus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9702188733405095	0.9702188733405095	0.002566923359002567	76	16	24	39	0	10	0	132.9962181004609	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_014182915.2	Bos gaurus	Bos gaurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	32	2	14	0	174.71978175525868	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_014523465.1	Ovis orientalis	Ovis orientalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9634015069967707	0.9634015069967707	0.012472487160674981	68	7	26	23	2	14	0	175.07349688320969	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_014754425.2	Oryx dammah	Oryx dammah	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010964912280701754	60	9	26	45	0	15	0	172.53507304633283	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_014926565.1	Kobus leche leche	Kobus leche	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.005158437730287398	76	3	27	39	2	12	0	132.64395991440796	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_016433095.1	Hippotragus equinus	Hippotragus equinus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9680660208109078	0.9680660208109078	0.010964912280701754	59	8	0	39	0	13	0	132.57095392182617	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_018282465.1	Bos taurus x Bison bison	Bos taurus x Bison bison	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9601722282023681	0.9601722282023681	0.017961876832844576	62	3	0	40	1	15	0	174.76591946409474	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_019320065.1	Cervus canadensis	Cervus canadensis	Chromosome	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9085037674919269	0.9085037674919269	0.06598240469208211	75	16	41	20	1	8	0	128.61620750830102	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_044231825.1	Addax nasomaculatus	Addax nasomaculatus	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9680660208109078	0.9680660208109078	0.010964912280701754	59	8	26	30	0	11	0	175.57095392182617	"[""refiner_sensitive_exon_blast_incorporated""]"	True
