accession	organism_name	species	assembly_level	assembly_status	species_status	source	callable_fraction	reconstructed_fraction	n_fraction	explicit_deleted_nt	insertion_nt	sensitive_rescued_nt	internal_stop_count_naive	frame_remainder	supported_events	rescued_events	quality_score	warnings
GCA_000751575.1	Capreolus capreolus	Capreolus capreolus	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8292070326515967	0.8292070326515967	0.14704803813714704	75	15	46	32	0	8	0	151.8800474451917	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000754665.1	Bison bison bison	Bison bison	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9598134194474345	0.9598134194474345	0.01942103334554782	59	1	0	33	2	13	0	131.5616008696282	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000765075.1	Capra aegagrus	Capra aegagrus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	38	2	12	0	132.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000765115.1	Ovis aries musimon	Ovis aries	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9648367420165052	0.9648367420165052	0.011001100110011002	68	8	26	39	0	15	0	122.24766416409281	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_000978405.1	Capra aegagrus	Capra aegagrus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	36	2	11	0	135.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_001039535.1	Ovis canadensis canadensis	Ovis canadensis	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9544312881234303	0.9601722282023681	0.016489556614144377	66	8	15	44	2	15	0	124.04240758772593	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_001651235.1	Giraffa tippelskirchi	Giraffa tippelskirchi	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9878005023322569	0.9878005023322569	0.001812250815512867	29	1	0	27	2	15	0	124.76192772507056	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_001660835.1	Okapia johnstoni	Okapia johnstoni	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9874416935773233	0.9874416935773233	0.0018135654697134566	30	0	0	39	0	10	0	124.7260337030352	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_001704415.2	Capra hircus	Capra hircus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	37	2	12	0	175.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002102435.1	Odocoileus virginianus texanus	Odocoileus virginianus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9684248295658414	0.9684248295658414	0.001838235294117647	83	16	26	42	2	11	0	122.82410060364296	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002197005.1	Cervus elaphus hippelaphus	Cervus elaphus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.7355579476139218	0.7355579476139218	0.2467866323907455	65	1	24	32	2	6	0	98.24967963067796	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002201775.1	Ammotragus lervia	Ammotragus lervia	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9687836383207751	0.9687836383207751	0.010948905109489052	57	10	0	53	1	12	0	132.642875744525	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002263795.4	Bos taurus	Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9601722282023681	0.9601722282023681	0.01905459875412239	59	1	0	33	2	14	0	174.75499224488198	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002443075.1	Elaphurus davidianus	Elaphurus davidianus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9027628274129889	0.9027628274129889	0.07153231663035585	74	41	24	37	0	9	0	125.17440780825453	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002742125.1	Ovis aries	Ovis aries	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010968921389396709	60	8	26	28	2	15	0	175.53503295524587	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002933975.1	Bos indicus	Bos indicus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9601722282023681	0.9601722282023681	0.017961876832844576	62	3	0	40	1	15	0	124.76591946409475	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002968435.1	Bos mutus	Bos mutus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.961248654467169	0.961248654467169	0.017889740781307048	59	11	26	31	0	12	0	124.7443321598486	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_002993835.1	Bubalus bubalis	Bubalus bubalis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.7951202009329028	0.7951202009329028	0.18300180831826401	65	43	25	21	2	12	0	97.36605898778669	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003121395.1	Bubalus bubalis	Bubalus bubalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8058844635809114	0.8058844635809114	0.17304860088365243	71	0	57	25	1	11	0	151.62792797985463	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003121645.1	Ovis ammon	Ovis ammon	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.11661284535342663	0.11661284535342663	0.8833871546465734	0	0	160	0	0	0	0	28.378373378546993	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003182575.1	Pseudois nayaur	Pseudois nayaur	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9616074632221027	0.9616074632221027	0.014684287812041116	67	4	0	45	0	10	0	171.68277620250404	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003182615.2	Capra sibirica	Capra sibirica	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9651955507714388	0.9651955507714388	0.011721611721611722	65	8	0	17	0	10	0	132.27633992347018	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003369685.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	33	2	13	0	174.8736279091048	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003369695.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9608898457122353	0.9608898457122353	0.017961876832844576	60	1	0	32	1	15	0	174.6838350612353	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003697985.1	Odocoileus hemionus sitkensis	Odocoileus hemionus	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.5439540724793684	0.5439540724793684	0.44868563197695355	25	15	26	15	2	6	0	104.19493590469314	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003798545.1	Axis porcinus	Axis porcinus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9648367420165052	0.9648367420165052	0.0025584795321637425	91	40	0	43	0	10	0	122.45808940632888	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_003945745.1	Oryx gazella	Oryx gazella	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9669895945461069	0.9669895945461069	0.011342846688620564	61	7	0	26	0	15	0	132.45953195126688	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004024705.2	Moschus moschiferus	Moschus moschiferus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9809831359885182	0.9809831359885182	0.0029154518950437317	45	2	227	39	2	8	0	133.57896300147002	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004024965.2	Tragulus javanicus	Tragulus javanicus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.5371367061356297	0.5371367061356297	0.45684736091298145	9	26	16	14	2	9	0	83.42940679617963	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004024985.1	Saiga tatarica	Saiga tatarica	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.444205238607822	0.444205238607822	0.5489981785063752	42	0	0	14	0	8	0	88.77248260779983	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004026565.1	Rangifer tarandus	Rangifer tarandus	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9630426982418371	0.9630426982418371	0.0018491124260355029	98	15	26	24	1	13	0	172.28577869992336	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004026825.1	Nilgiritragus hylocrius	Nilgiritragus hylocrius	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9583781844277001	0.9583781844277001	0.018328445747800588	66	7	59	31	1	13	0	171.24684480798933	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004026945.1	Ovis canadensis	Ovis canadensis	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9630426982418371	0.9630426982418371	0.012477064220183486	69	7	26	25	1	14	0	172.03757023712126	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004027495.1	Beatragus hunteri	Beatragus hunteri	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9590958019375673	0.9590958019375673	0.015090172984909826	73	3	0	46	2	10	0	171.5761048262834	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004027515.2	Antilocapra americana	Antilocapra americana	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9727305346250449	0.9727305346250449	0.002560351133869788	69	16	0	50	1	14	0	123.22056823073568	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004115125.1	Odocoileus hemionus hemionus	Odocoileus hemionus	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9666307857911733	0.9684248295658414	0.001838235294117647	83	16	26	43	2	10	0	172.64469622617614	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004361675.1	Capra hircus	Capra hircus	Chromosome	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9307499102978113	0.9307499102978113	0.04690362770245511	65	7	0	39	2	13	0	121.348533971974	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_004794615.1	Bubalus bubalis	Bubalus bubalis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8058844635809114	0.8058844635809114	0.17304860088365243	71	0	57	25	1	11	0	98.62792797985462	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_005887515.3	Bos grunniens	Bos grunniens	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.961248654467169	0.961248654467169	0.017889740781307048	59	11	26	31	0	12	0	174.7443321598486	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408465.1	Cervus albirostris	Cervus albirostris	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9088625762468604	0.9088625762468604	0.0659582264565775	74	16	41	52	2	8	0	115.65233016614943	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408485.1	Muntiacus crinifrons	Muntiacus crinifrons	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.004032258064516129	79	20	26	39	1	11	0	172.71844047846497	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408505.1	Damaliscus lunatus	Damaliscus lunatus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9594546106925009	0.9594546106925009	0.01471129091577786	73	5	0	22	1	12	0	131.61975699956884	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408525.1	Muntiacus reevesi	Muntiacus reevesi	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9702188733405095	0.9702188733405095	0.002932551319648094	75	16	26	29	1	10	0	172.99256182085446	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408545.1	Alcelaphus buselaphus	Alcelaphus buselaphus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.2447075708647291	0.2447075708647291	0.7544112351458409	10	0	0	4	2	4	0	38.51297278632558	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408565.1	Giraffa camelopardalis	Giraffa camelopardalis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9881593110871906	0.9881593110871906	0.0018115942028985507	28	1	0	32	0	14	0	124.79781516669007	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408585.1	Antidorcas marsupialis	Antidorcas marsupialis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9533548618586294	0.9533548618586294	0.00784167289021658	109	0	26	46	2	12	0	131.05194125183257	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408615.1	Connochaetes taurinus	Connochaetes taurinus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9583781844277001	0.9583781844277001	0.01582627898417372	73	3	0	48	2	11	0	131.50096449240482	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408635.1	Nanger granti	Nanger granti	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8823107283817725	0.8823107283817725	0.09882869692532943	58	3	48	37	2	12	0	119.34162402961779	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408655.1	Tragulus kanchil	Tragulus kanchil	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.4707570864729099	0.4707570864729099	0.5245726495726496	2	23	20	14	0	7	0	63.362298970462284	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408675.1	Madoqua kirkii	Madoqua kirkii	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.5357014711158953	0.5357014711158953	0.45731928804940064	35	1	0	31	2	12	0	103.2838895180308	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408695.1	Aepyceros melampus	Aepyceros melampus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9705776820954432	0.9705776820954432	0.006581352833638025	64	12	27	36	2	17	0	132.8960347448765	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408735.1	Sylvicapra grimmia	Sylvicapra grimmia	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9705776820954432	0.9705776820954432	0.0076979472140762464	61	2	0	47	1	18	0	132.90561182351698	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408755.1	Eudorcas thomsonii	Eudorcas thomsonii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9149623250807319	0.9149623250807319	0.06346294937637564	64	3	53	21	2	13	0	123.97723952364018	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006408785.2	Syncerus caffer	Syncerus caffer	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.7944025834230355	0.7944025834230355	0.1840264998159735	73	3	27	27	2	11	0	97.31841458299124	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006409035.1	Muntiacus muntjak	Muntiacus muntjak	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8589881593110872	0.8589881593110872	0.11555392516507704	78	17	26	33	2	7	0	120.69863879440857	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410495.1	Tragelaphus scriptus	Tragelaphus scriptus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.47613921779691426	0.47613921779691426	0.5207506315409599	17	1	66	16	2	6	0	72.00557914409066	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410515.1	Procapra przewalskii	Procapra przewalskii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9651955507714388	0.9651955507714388	0.007746219107340465	76	0	28	39	2	13	0	132.13440057837815	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410535.1	Litocranius walleri	Litocranius walleri	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9655543595263725	0.9655543595263725	0.009204712812960236	71	0	0	43	1	11	0	132.24630247289215	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410555.1	Capra ibex	Capra ibex	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9651955507714388	0.9651955507714388	0.011717319663127059	65	9	0	52	1	10	0	122.27638284405502	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410575.1	Oryx gazella	Oryx gazella	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9669895945461069	0.9669895945461069	0.011342846688620564	61	7	0	26	0	15	0	132.45953195126688	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410595.1	Ovis ammon	Ovis ammon	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010964912280701754	60	9	26	32	0	15	0	122.53507304633283	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410615.1	Neotragus moschatus	Neotragus moschatus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.009177679882525698	70	7	0	45	0	21	0	132.2784819157741	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410635.1	Cephalophus harveyi	Cephalophus harveyi	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9637603157517043	0.9637603157517043	0.013577981651376147	64	2	0	32	1	15	0	132.16507484477006	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410655.1	Kobus ellipsiprymnus	Kobus ellipsiprymnus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9680660208109078	0.9680660208109078	0.004789977892409728	76	3	27	40	2	12	0	132.6835253882801	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410675.1	Oreotragus oreotragus	Oreotragus oreotragus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.7997847147470398	0.7997847147470398	0.18338213762811129	57	2	0	25	2	13	0	107.50269821611678	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410695.1	Philantomba maxwellii	Philantomba maxwellii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9494079655543596	0.9494079655543596	0.027787934186471665	65	13	0	34	2	18	0	130.58774029968464	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410735.1	Raphicerus campestris	Raphicerus campestris	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.5396483674201651	0.5396483674201651	0.4554992764109986	24	1	26	24	1	10	0	78.69677926484181	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410755.1	Tragelaphus eurycerus	Tragelaphus eurycerus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.8772874058127018	0.8772874058127018	0.09934258582907232	70	21	19	33	2	15	0	111.93268062111835	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410775.1	Tragelaphus imberbis	Tragelaphus imberbis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8952278435593829	0.8952278435593829	0.08421436383521691	61	17	19	32	1	11	0	124.37895468322252	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410795.1	Tragelaphus strepsiceros	Tragelaphus strepsiceros	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8442770003588087	0.8442770003588087	0.1388184124682856	51	23	36	33	2	15	0	118.08270104974952	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410875.1	Neotragus pygmaeus	Neotragus pygmaeus	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_reference_anchored_remnant	0.9077861499820595	0.9077861499820595	0.07132406730065838	62	9	0	22	1	15	0	122.73204099186604	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006410935.1	Redunca redunca	Redunca redunca	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.9687836383207751	0.9687836383207751	0.006615214994487321	69	3	26	38	0	10	0	132.7220870851369	"[""refiner_sensitive_exon_blast_incorporated""]"
GCA_006411015.1	Tragelaphus spekii	Tragelaphus spekii	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8338715464657338	0.8338715464657338	0.14743356388787768	58	18	57	34	2	14	0	116.9560041462461	"[""refiner_sensitive_exon_blast_incorporated""]"
