species_key	exon_index	exon	assemblies_total	assemblies_ok	coverage_median	coverage_max	callable_fraction_median	identity_median	n_aligned_fraction_median	confidence_score_median	high_conf_assemblies	medium_or_high_assemblies
Alcelaphus buselaphus	2	exon_2	1	1	0.9769736842105263	0.9769736842105263	0.9769736842105263	0.8888888888888888	0.0	0.8951937134502925	1	1
Alcelaphus buselaphus	3	exon_3	1	1	0.45997610513739545	0.45997610513739545	0.45997610513739545	0.8545454545454545	0.0	0.653958944281525	0	1
Alcelaphus buselaphus	4	exon_4	1	1	0.0	0.0	0.0	0.0		0.18333333333333332	0	0
Alcelaphus buselaphus	5	exon_5	1	1	0.0	0.0	0.0	0.0		0.18333333333333332	0	0
Alcelaphus buselaphus	6	exon_6	1	1	0.0	0.0	0.0	0.0		0.18333333333333332	0	0
Alces alces	1	exon_1	5	5	0.865979381443299	0.8762886597938144	0.865979381443299	0.8630952380952381	0.0	0.9054645311732941	5	5
Alces alces	2	exon_2	5	5	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.8986486486486487	0.0	0.9628200568990044	5	5
Alces alces	3	exon_3	5	5	0.980884109916368	0.980884109916368	0.980884109916368	0.8879415347137637	0.0	0.9633832331408065	5	5
Alces alces	4	exon_4	5	5	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.8870967741935484	0.0	0.9147319400272603	5	5
Alces alces	5	exon_5	5	5	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8861788617886179	0.0	0.96791568318909	5	5
Alces alces	6	exon_6	5	5	0.9515695067264573	0.9515695067264573	0.9515695067264573	0.8746465598491989	0.0	0.9468679179892056	5	5
Ammotragus lervia	1	exon_1	1	1	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8579234972677595	0.0	0.9389654103994142	1	1
Ammotragus lervia	2	exon_2	1	1	1.0	1.0	1.0	0.8947368421052632	0.0	0.9736842105263158	1	1
Ammotragus lervia	3	exon_3	1	1	0.973715651135006	0.973715651135006	0.973715651135006	0.8723926380368098	0.0	0.9562702025199552	1	1
Ammotragus lervia	4	exon_4	1	1	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9009433962264151	0.0	0.9731231730002659	1	1
Ammotragus lervia	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9024390243902439	0.0	0.9719807238394965	1	1
Ammotragus lervia	6	exon_6	1	1	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8682972718720602	0.0	0.9460877708828133	1	1
Antidorcas marsupialis	1	exon_1	1	1	0.8711340206185567	0.8711340206185567	0.8711340206185567	0.8284023668639053	0.0	0.8991109009943269	1	1
Antidorcas marsupialis	2	exon_2	1	1	1.0	1.0	1.0	0.881578947368421	0.0	0.9703947368421053	1	1
Antidorcas marsupialis	3	exon_3	1	1	0.970131421744325	0.970131421744325	0.970131421744325	0.8633004926108374	0.0	0.9523842629376557	1	1
Antidorcas marsupialis	4	exon_4	1	1	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.9139784946236559	0.0	0.9214523701347872	1	1
Antidorcas marsupialis	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8699186991869918	0.0	0.9638506425386835	1	1
Antidorcas marsupialis	6	exon_6	1	1	0.9300448430493273	0.9300448430493273	0.9300448430493273	0.8794599807135969	0.0	0.9383851745505966	1	1
Antilocapra americana	1	exon_1	5	5	0.9742268041237113	0.9845360824742269	0.9742268041237113	0.8571428571428571	0.0	0.9526877761413844	5	5
Antilocapra americana	2	exon_2	5	5	0.9802631578947368	0.9802631578947368	0.9802631578947368	0.8758389261744967	0.0	0.9600781525962558	5	5
Antilocapra americana	3	exon_3	5	5	0.959378733572282	0.959378733572282	0.959378733572282	0.8717310087173101	0.0	0.9496531822868545	5	5
Antilocapra americana	4	exon_4	5	5	0.9812206572769953	0.9812206572769953	0.9812206572769953	0.8803827751196173	0.0	0.9616449895545522	5	5
Antilocapra americana	5	exon_5	5	5	0.9112903225806451	0.9112903225806451	0.9112903225806451	0.9203539823008849	0.0	0.9401691407365116	5	5
Antilocapra americana	6	exon_6	5	5	0.9856502242152466	0.9856502242152466	0.9856502242152466	0.8844404003639672	0.0	0.9646527009878528	5	5
Axis porcinus	1	exon_1	3	3	0.9690721649484536	0.9690721649484536	0.9690721649484536	0.8723404255319149	0.0	0.9541675806097829	3	3
Axis porcinus	2	exon_2	3	3	0.9243421052631579	0.9243421052631579	0.9243421052631579	0.9074733096085409	0.0	0.9428222747705564	3	3
Axis porcinus	3	exon_3	3	3	0.978494623655914	0.9796893667861409	0.978494623655914	0.873015873015873	0.0	0.9585765488991296	3	3
Axis porcinus	4	exon_4	3	3	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8867924528301887	0.0	0.9695854371512092	3	3
Axis porcinus	5	exon_5	3	3	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8780487804878049	0.0	0.9658831628638868	3	3
Axis porcinus	6	exon_6	3	3	0.9551569506726457	0.9551569506726457	0.9551569506726457	0.8751173708920188	0.0	0.9485999705256953	3	3
Beatragus hunteri	1	exon_1	1	1	0.9536082474226805	0.9536082474226805	0.9536082474226805	0.8540540540540541	0.0	0.9426372248537198	1	1
Beatragus hunteri	2	exon_2	1	1	0.9769736842105263	0.9769736842105263	0.9769736842105263	0.8956228956228957	0.0	0.9635438818004608	1	1
Beatragus hunteri	3	exon_3	1	1	0.965352449223417	0.965352449223417	0.965352449223417	0.8836633663366337	0.0	0.9553244437346962	1	1
Beatragus hunteri	4	exon_4	1	1	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.9719439277172469	1	1
Beatragus hunteri	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8943089430894309	0.0	0.9699482035142932	1	1
Beatragus hunteri	6	exon_6	1	1	0.9399103139013453	0.9399103139013453	0.9399103139013453	0.8645038167938931	0.0	0.9390855954540787	1	1
Bison bison	1	exon_1	2	2	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	2	2
Bison bison	2	exon_2	2	2	1.0	1.0	1.0	0.9078947368421053	0.0	0.9769736842105263	2	2
Bison bison	3	exon_3	2	2	0.946236559139785	0.946236559139785	0.946236559139785	0.8787878787878788	0.0	0.945503421309873	2	2
Bison bison	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9009433962264151	0.0	0.9731231730002659	2	2
Bison bison	5	exon_5	2	2	0.9596774193548387	0.9596774193548387	0.9596774193548387	0.8991596638655462	0.0	0.956644754676064	2	2
Bison bison	6	exon_6	2	2	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8753488372093023	0.0	0.9526937115444781	2	2
Bison bonasus	1	exon_1	1	1	0.0	0.0	0.0	0.0		0.23333333333333334	0	0
Bison bonasus	2	exon_2	1	1	1.0	1.0	1.0	0.9078947368421053	0.0	0.9603070175438597	1	1
Bison bonasus	3	exon_3	1	1	0.946236559139785	0.946236559139785	0.946236559139785	0.8762626262626263	0.0	0.9282054415118932	1	1
Bison bonasus	4	exon_4	1	1	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.9552772610505803	1	1
Bison bonasus	5	exon_5	1	1	0.9596774193548387	0.9596774193548387	0.9596774193548387	0.8991596638655462	0.0	0.9399780880093974	1	1
Bison bonasus	6	exon_6	1	1	0.9632286995515695	0.9632286995515695	0.9632286995515695	0.8752327746741154	0.0	0.9355944418000686	1	1
Bos frontalis	1	exon_1	3	3	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8786127167630058	0.0	0.9209418389845659	2	2
Bos frontalis	2	exon_2	3	3	1.0	1.0	1.0	0.9046052631578947	0.0	0.9761513157894737	2	2
Bos frontalis	3	exon_3	3	3	0.945041816009558	0.945041816009558	0.945041816009558	0.8735777496839444	0.0	0.9436632546252872	2	2
Bos frontalis	4	exon_4	3	3	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.9086021505376344	0.0	0.9201082841132818	3	3
Bos frontalis	5	exon_5	3	3	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9024390243902439	0.0	0.9719807238394965	3	3
Bos frontalis	6	exon_6	3	3	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8762790697674419	0.0	0.9529262696840131	3	3
Bos gaurus	1	exon_1	2	2	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	2	2
Bos gaurus	2	exon_2	2	2	1.0	1.0	1.0	0.9046052631578947	0.0	0.9761513157894737	2	2
Bos gaurus	3	exon_3	2	2	0.946236559139785	0.946236559139785	0.946236559139785	0.8737373737373737	0.0	0.9442407950472467	2	2
Bos gaurus	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9033018867924528	0.0	0.9737127956417753	2	2
Bos gaurus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9186991869918699	0.0	0.976045764489903	2	2
Bos gaurus	6	exon_6	2	2	0.9645739910313902	0.9650224215246637	0.9645739910313902	0.8712220108930577	0.0	0.9518637986873901	2	2
Bos gaurus x Bos taurus	1	exon_1	1	1	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	1	1
Bos gaurus x Bos taurus	2	exon_2	1	1	1.0	1.0	1.0	0.9078947368421053	0.0	0.9769736842105263	1	1
Bos gaurus x Bos taurus	3	exon_3	1	1	0.946236559139785	0.946236559139785	0.946236559139785	0.8825757575757576	0.0	0.9464503910068427	1	1
Bos gaurus x Bos taurus	4	exon_4	1	1	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9056603773584906	0.0	0.9743024182832847	1	1
Bos gaurus x Bos taurus	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9024390243902439	0.0	0.9719807238394965	1	1
Bos gaurus x Bos taurus	6	exon_6	1	1	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8762790697674419	0.0	0.9529262696840131	1	1
Bos grunniens	1	exon_1	5	5	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	5	5
Bos grunniens	2	exon_2	5	5	1.0	1.0	1.0	0.8980263157894737	0.0	0.9745065789473685	5	5
Bos grunniens	3	exon_3	5	5	0.946236559139785	0.946236559139785	0.946236559139785	0.8762626262626263	0.0	0.9448721081785598	5	5
Bos grunniens	4	exon_4	5	5	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.9086021505376344	0.0	0.9201082841132818	5	5
Bos grunniens	5	exon_5	5	5	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9186991869918699	0.0	0.976045764489903	5	5
Bos grunniens	6	exon_6	5	5	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8706976744186047	0.0	0.9515309208468037	5	5
Bos grunniens x Bos taurus	1	exon_1	2	2	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	2	2
Bos grunniens x Bos taurus	2	exon_2	2	2	1.0	1.0	1.0	0.9029605263157895	0.0	0.9757401315789473	2	2
Bos grunniens x Bos taurus	3	exon_3	2	2	0.9444444444444444	0.946236559139785	0.9444444444444444	0.8810946921688366	0.0	0.9452736730422092	2	2
Bos grunniens x Bos taurus	4	exon_4	2	2	0.9342723004694835	0.9953051643192489	0.9342723004694835	0.9071312639480624	0.0	0.9472053511982832	2	2
Bos grunniens x Bos taurus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.910569105691057	0.0	0.9740132441646998	2	2
Bos grunniens x Bos taurus	6	exon_6	2	2	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8734883720930233	0.0	0.9522285952654084	2	2
Bos indicus	1	exon_1	47	47	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	46	46
Bos indicus	2	exon_2	47	47	1.0	1.0	1.0	0.9046052631578947	0.0	0.9761513157894737	46	46
Bos indicus	3	exon_3	47	47	0.946236559139785	0.946236559139785	0.946236559139785	0.8825757575757576	0.0	0.9464503910068427	46	46
Bos indicus	4	exon_4	47	47	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9056603773584906	0.0	0.9743024182832847	47	47
Bos indicus	5	exon_5	47	47	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9024390243902439	0.0	0.9719807238394965	47	47
Bos indicus	6	exon_6	47	47	0.9641255605381166	0.9650224215246637	0.9641255605381166	0.8762790697674419	0.0	0.9529262696840131	47	47
Bos indicus x Bos taurus	1	exon_1	10	10	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8757225433526011	0.0	0.9202192956319648	10	10
Bos indicus x Bos taurus	2	exon_2	10	10	1.0	1.0	1.0	0.9029605263157894	0.0	0.9757401315789473	10	10
Bos indicus x Bos taurus	3	exon_3	10	10	0.946236559139785	0.946236559139785	0.946236559139785	0.8825757575757576	0.0	0.9464503910068427	10	10
Bos indicus x Bos taurus	4	exon_4	10	10	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9056603773584906	0.0	0.9743024182832847	10	10
Bos indicus x Bos taurus	5	exon_5	10	10	0.9879032258064516	0.9919354838709677	0.9879032258064516	0.9061375449820073	0.0	0.9710908378584051	10	10
Bos indicus x Bos taurus	6	exon_6	10	10	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8753488372093023	0.0	0.9526937115444781	10	10
Bos javanicus	1	exon_1	2	2	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	2	2
Bos javanicus	2	exon_2	2	2	1.0	1.0	1.0	0.9046052631578947	0.0	0.9761513157894737	2	2
Bos javanicus	3	exon_3	2	2	0.946236559139785	0.946236559139785	0.946236559139785	0.8813131313131313	0.0	0.9461347344411861	2	2
Bos javanicus	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9009433962264151	0.0	0.9731231730002659	2	2
Bos javanicus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9186991869918699	0.0	0.976045764489903	2	2
Bos javanicus	6	exon_6	2	2	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8706976744186047	0.0	0.9515309208468037	2	2
Bos mutus	1	exon_1	6	6	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	6	6
Bos mutus	2	exon_2	6	6	1.0	1.0	1.0	0.8980263157894737	0.0	0.9745065789473685	6	6
Bos mutus	3	exon_3	6	6	0.946236559139785	0.946236559139785	0.946236559139785	0.8762626262626263	0.0	0.9448721081785598	6	6
Bos mutus	4	exon_4	6	6	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.9086021505376344	0.0	0.9201082841132818	6	6
Bos mutus	5	exon_5	6	6	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9186991869918699	0.0	0.976045764489903	6	6
Bos mutus	6	exon_6	6	6	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8706976744186047	0.0	0.9515309208468037	6	6
Bos taurus	1	exon_1	204	204	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	204	204
Bos taurus	2	exon_2	204	204	1.0	1.0	1.0	0.9078947368421053	0.0	0.9769736842105263	204	204
Bos taurus	3	exon_3	204	204	0.946236559139785	0.946236559139785	0.946236559139785	0.8825757575757576	0.0	0.9461347344411861	204	204
Bos taurus	4	exon_4	204	204	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9056603773584906	0.0	0.9743024182832847	203	203
Bos taurus	5	exon_5	204	204	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9024390243902439	0.0	0.9719807238394965	203	203
Bos taurus	6	exon_6	204	204	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8762790697674419	0.0	0.9529262696840131	203	203
Bos taurus x Bison bison	1	exon_1	3	3	0.8917525773195877	0.8917525773195877	0.8917525773195877	0.8728323699421965	0.0	0.9194967522793636	3	3
Bos taurus x Bison bison	2	exon_2	3	3	1.0	1.0	1.0	0.9046052631578947	0.0	0.9761513157894737	3	3
Bos taurus x Bison bison	3	exon_3	3	3	0.946236559139785	0.946236559139785	0.946236559139785	0.8787878787878788	0.0	0.945503421309873	3	3
Bos taurus x Bison bison	4	exon_4	3	3	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9009433962264151	0.0	0.9731231730002659	3	3
Bos taurus x Bison bison	5	exon_5	3	3	0.9596774193548387	0.9919354838709677	0.9596774193548387	0.8991596638655462	0.0	0.956644754676064	3	3
Bos taurus x Bison bison	6	exon_6	3	3	0.9641255605381166	0.9641255605381166	0.9641255605381166	0.8762790697674419	0.0	0.9529262696840131	3	3
Bubalus bubalis	1	exon_1	16	16	0.0	0.0	0.0	0.0		0.21666666666666667	0	0
Bubalus bubalis	2	exon_2	16	16	0.0	0.0	0.0	0.0		0.21666666666666667	0	0
Bubalus bubalis	3	exon_3	16	16	0.931899641577061	0.9390681003584229	0.931899641577061	0.8826923076923077	0.0	0.9068548387096774	14	14
Bubalus bubalis	4	exon_4	16	16	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.9386105943839136	16	16
Bubalus bubalis	5	exon_5	16	16	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9406799108313665	16	16
Bubalus bubalis	6	exon_6	16	16	0.9632286995515695	0.9632286995515695	0.9632286995515695	0.8780260707635009	0.0	0.9196260991557482	16	16
Bubalus depressicornis	1	exon_1	1	1	0.0	0.0	0.0	0.0		0.2	0	0
Bubalus depressicornis	2	exon_2	1	1	0.0	0.0	0.0	0.0		0.2	0	0
Bubalus depressicornis	3	exon_3	1	1	0.0	0.0	0.0	0.0		0.2	0	0
Bubalus depressicornis	4	exon_4	1	1	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.921943927717247	1	1
Bubalus depressicornis	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9240132441646999	1	1
Bubalus depressicornis	6	exon_6	1	1	0.9632286995515695	0.9632286995515695	0.9632286995515695	0.8780260707635009	0.0	0.9029594324890816	1	1
Bubalus kerabau	1	exon_1	3	3	0.0	0.0	0.0	0.0		0.21666666666666667	0	0
Bubalus kerabau	2	exon_2	3	3	0.0	0.0	0.0	0.0		0.21666666666666667	0	0
Bubalus kerabau	3	exon_3	3	3	0.931899641577061	0.931899641577061	0.931899641577061	0.8807692307692307	0.0	0.9062138130686518	3	3
Bubalus kerabau	4	exon_4	3	3	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.9009433962264151	0.0	0.9397898396669325	3	3
Bubalus kerabau	5	exon_5	3	3	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9406799108313665	3	3
Bubalus kerabau	6	exon_6	3	3	0.9632286995515695	0.9632286995515695	0.9632286995515695	0.8770949720670391	0.0	0.9193933244816328	3	3
Budorcas taxicolor	1	exon_1	2	2	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8524590163934426	0.0	0.9375992901808349	2	2
Budorcas taxicolor	2	exon_2	2	2	1.0	1.0	1.0	0.8947368421052632	0.0	0.9736842105263158	2	2
Budorcas taxicolor	3	exon_3	2	2	0.972520908004779	0.972520908004779	0.972520908004779	0.8845208845208845	0.0	0.9587646297323718	2	2
Budorcas taxicolor	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8820754716981132	0.0	0.9684061918681903	2	2
Budorcas taxicolor	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8943089430894309	0.0	0.9699482035142932	2	2
Budorcas taxicolor	6	exon_6	2	2	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8720602069614299	0.0	0.9470285046551558	2	2
Capra aegagrus	1	exon_1	2	2	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.9362331699622557	2	2
Capra aegagrus	2	exon_2	2	2	1.0	1.0	1.0	0.8947368421052632	0.0	0.9736842105263158	2	2
Capra aegagrus	3	exon_3	2	2	0.96415770609319	0.96415770609319	0.96415770609319	0.8841387856257745	0.0	0.9549056641483792	2	2
Capra aegagrus	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.9719439277172469	2	2
Capra aegagrus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9740132441646998	2	2
Capra aegagrus	6	exon_6	2	2	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8692380056444027	0.0	0.9463229543258989	2	2
Capra falconeri	1	exon_1	1	1	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.8862331699622558	1	1
Capra falconeri	2	exon_2	1	1	1.0	1.0	1.0	0.8947368421052632	0.0	0.9236842105263159	1	1
Capra falconeri	3	exon_3	1	1	0.96415770609319	0.96415770609319	0.96415770609319	0.8835192069392813	0.0	0.9047507694767559	1	1
Capra falconeri	4	exon_4	1	1	0.1784037558685446	0.1784037558685446	0.1784037558685446	0.8947368421052632	0.0	0.553965900667161	0	0
Capra falconeri	5	exon_5	1	1	0.0	0.0	0.0	0.0		0.2	0	0
Capra falconeri	6	exon_6	1	1	0.0	0.0	0.0	0.0		0.2	0	0
Capra hircus	1	exon_1	68	68	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.9362331699622557	68	68
Capra hircus	2	exon_2	68	68	1.0	1.0	1.0	0.8947368421052632	0.0	0.9736842105263158	68	68
Capra hircus	3	exon_3	68	68	0.96415770609319	0.96415770609319	0.96415770609319	0.8828273696962988	0.0	0.9544409801335093	68	68
Capra hircus	4	exon_4	68	68	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8962264150943396	0.0	0.9719439277172469	68	68
Capra hircus	5	exon_5	68	68	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9740132441646998	68	68
Capra hircus	6	exon_6	68	68	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8692380056444027	0.0	0.9463229543258989	68	68
Capra ibex	1	exon_1	2	2	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.9362331699622557	2	2
Capra ibex	2	exon_2	2	2	1.0	1.0	1.0	0.893092105263158	0.0	0.9732730263157896	2	2
Capra ibex	3	exon_3	2	2	0.96415770609319	0.96415770609319	0.96415770609319	0.8822800495662949	0.0	0.9544409801335092	2	2
Capra ibex	4	exon_4	2	2	0.9906103286384977	0.9953051643192489	0.9906103286384977	0.8909928122192272	0.0	0.9685228509421309	2	2
Capra ibex	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9740132441646998	2	2
Capra ibex	6	exon_6	2	2	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8701787394167451	0.0	0.9465581377689845	2	2
Capra nubiana	1	exon_1	2	2	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.9362331699622557	2	2
Capra nubiana	2	exon_2	2	2	1.0	1.0	1.0	0.8914473684210527	0.0	0.9728618421052633	2	2
Capra nubiana	3	exon_3	2	2	0.96415770609319	0.96415770609319	0.96415770609319	0.8822800495662949	0.0	0.9544409801335093	2	2
Capra nubiana	4	exon_4	2	2	0.9953051643192489	0.9953051643192489	0.9953051643192489	0.8915094339622641	0.0	0.9707646824342281	2	2
Capra nubiana	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9740132441646998	2	2
Capra nubiana	6	exon_6	2	2	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8682972718720602	0.0	0.9460877708828133	2	2
Capra sibirica	1	exon_1	1	1	0.9432989690721649	0.9432989690721649	0.9432989690721649	0.8469945355191257	0.0	0.9362331699622557	1	1
Capra sibirica	2	exon_2	1	1	1.0	1.0	1.0	0.8947368421052632	0.0	0.9736842105263158	1	1
Capra sibirica	3	exon_3	1	1	0.96415770609319	0.96415770609319	0.96415770609319	0.8810408921933085	0.0	0.9541311907902627	1	1
Capra sibirica	4	exon_4	1	1	0.9859154929577465	0.9859154929577465	0.9859154929577465	0.8904761904761904	0.0	0.9662810194500335	1	1
Capra sibirica	5	exon_5	1	1	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9105691056910569	0.0	0.9740132441646998	1	1
Capra sibirica	6	exon_6	1	1	0.9533632286995516	0.9533632286995516	0.9533632286995516	0.8701787394167451	0.0	0.9465581377689845	1	1
Capreolus capreolus	1	exon_1	2	2	0.4896907216494845	0.979381443298969	0.4896907216494845	0.4263157894736842	0.0	0.5936064387773557	1	1
Capreolus capreolus	2	exon_2	2	2	0.6134868421052632	0.9736842105263158	0.6134868421052632	0.8959503334503334	0.0	0.7917233289766186	1	1
Capreolus capreolus	3	exon_3	2	2	0.9802867383512545	0.980884109916368	0.9802867383512545	0.877512551617599	0.0	0.952173836829131	2	2
Capreolus capreolus	4	exon_4	2	2	0.8732394366197183	0.8732394366197183	0.8732394366197183	0.8817204301075269	0.0	0.9050545206724216	2	2
Capreolus capreolus	5	exon_5	2	2	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.8943089430894309	0.0	0.9616148701809599	2	2
Capreolus capreolus	6	exon_6	2	2	0.9497757847533632	0.9497757847533632	0.9497757847533632	0.8720491029272899	0.0	0.9370780455375027	2	2
Capreolus pygargus	1	exon_1	1	1	0.979381443298969	0.979381443298969	0.979381443298969	0.8315789473684211	0.0	0.9486163863266414	1	1
