Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Species Key	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
mCerEla1.1	GCF_910594005.1	GCA_910594005.1	Cervus elaphus	Cervus elaphus							NCBI Cervus elaphus Annotation Release 100	Chromosome	2021-07-07	CAJVBL01	144
mCerEla1.hap1.2	GCA_910594005.2		Cervus elaphus	Cervus elaphus								Chromosome	2026-02-26	CAJVBL02	964
mMunRee1.1	GCA_963930625.1	GCF_963930625.1	Muntiacus reevesi	Muntiacus reevesi								Chromosome	2024-01-31	CAWVNM01	267
mMunRee1.1	GCF_963930625.1	GCA_963930625.1	Muntiacus reevesi	Muntiacus reevesi							GCF_963930625.1-RS_2024_06	Chromosome	2024-01-31	CAWVNM01	267
Ovbor_1.2	GCA_023699985.4	GCF_023699985.2	Odocoileus virginianus	Odocoileus virginianus				Illinois	20LAN1187	male		Chromosome	2024-10-17	JAJQKH02	480
Ovbor_1.2	GCF_023699985.2	GCA_023699985.4	Odocoileus virginianus	Odocoileus virginianus				Illinois	20LAN1187	male	GCF_023699985.2-RS_2024_12	Chromosome	2024-10-17	JAJQKH02	480
CAU_O.ammon polii_1.0	GCA_028583565.1		Ovis ammon polii	Ovis ammon					CAU-MHL-2022a	male	Annotation submitted by China Agricultural University	Chromosome	2023-02-10	JAKZEL01	62
ARS-UI_OviCan_v2	GCA_042477335.2	GCF_042477335.2	Ovis canadensis	Ovis canadensis	Bighorn				MfBH-ARS-UI-01	male		Chromosome	2024-10-18	JBGCUV01	41
ARS-UI_OviCan_v2	GCF_042477335.2	GCA_042477335.2	Ovis canadensis	Ovis canadensis	Bighorn				MfBH-ARS-UI-01	male	GCF_042477335.2-RS_2024_12	Chromosome	2024-10-18	JBGCUV01	41
BYU_Ohem_2021	GCA_020976825.1		Odocoileus hemionus	Odocoileus hemionus					AT2021a	female		Chromosome	2021-11-30	JAJLRB01	5513
PCC_UOA_SB_1v2	GCA_029407905.2	GCF_029407905.1	Bubalus kerabau	Bubalus kerabau	swamp buffalo			Philippines	K-KA32	female		Chromosome	2023-03-31	JARFXY01	115
PCC_UOA_SB_1v2	GCF_029407905.1	GCA_029407905.2	Bubalus kerabau	Bubalus kerabau	swamp buffalo			Philippines	K-KA32	female	GCF_029407905.1-RS_2024_02	Chromosome	2023-03-31	JARFXY01	115
ARS_UOA_Gaur_1.1	GCA_014182915.2		Bos gaurus	Bos gaurus					Gaur_Henry_Doorly_Zoo_5443	female		Chromosome	2020-08-14	JACAOC01	634
CapAeg_1.0	GCA_000978405.1		Capra aegagrus	Capra aegagrus					BamuBGIKM			Chromosome	2015-04-24	JXYW01	89498
ARS_UNL_BGru_maternal_1.0_p	GCA_009493645.1		Bos grunniens x Bos taurus	Bos grunniens x Bos taurus					Esperanza	female		Chromosome	2019-11-04	VLPI01	484
NWIPB_Pahodg_1.0	GCA_040182635.1		Pantholops hodgsonii	Pantholops hodgsonii					TAntelope-BX-2024	male		Chromosome	2024-06-17	JBBYXG01	540
ASM4423182v1	GCA_044231825.1		Addax nasomaculatus	Addax nasomaculatus					NWPU_XJL	female		Chromosome	2024-11-04	JAVHYU01	2643
ASM3311817v2	GCA_033118175.2	GCF_033118175.1	Dama dama	Dama dama					Ldn47	male		Chromosome	2024-10-18	JASJUW01	284
ASM3311817v2	GCF_033118175.1	GCA_033118175.2	Dama dama	Dama dama					Ldn47	male	GCF_033118175.1-RS_2023_11	Chromosome	2023-11-02	JASJUW01	284
mAxiPor1.hap1	GCA_054883215.1		Axis porcinus	Axis porcinus					mAxiPor1	male		Chromosome	2026-01-30	JBTXHO01	719
ARS-OSU_banteng_1.0	GCA_032452875.1	GCF_032452875.1	Bos javanicus	Bos javanicus	banteng					male		Chromosome	2023-10-11	JAVLEU01	1517
ARS-OSU_banteng_1.0	GCF_032452875.1	GCA_032452875.1	Bos javanicus	Bos javanicus	banteng					male	GCF_032452875.1-RS_2023_12	Chromosome	2023-10-11	JAVLEU01	1517
CAU_Oori_1.0	GCA_014523465.1		Ovis orientalis	Ovis orientalis		Amuf_v1				female		Chromosome	2020-09-11	JACSDQ01	128
ASM1932006v1	GCA_019320065.1	GCF_019320065.1	Cervus canadensis	Cervus canadensis					Bull #8, Minnesota	male		Chromosome	2021-07-26	JACTMD01	185
ASM1932006v1	GCF_019320065.1	GCA_019320065.1	Cervus canadensis	Cervus canadensis					Bull #8, Minnesota	male	NCBI Cervus canadensis Annotation Release 100	Chromosome	2021-07-26	JACTMD01	185
CAU_F1_maternal_1.0	GCA_023701675.1		Ovis ammon polii x Ovis aries	Ovis ammon polii x Ovis aries					F1 hybrid	male	Annotation submitted by China Agricultural University	Chromosome	2022-06-10	JALAIW01	337
mRupRup1.1	GCA_963981305.1		Rupicapra rupicapra	Rupicapra rupicapra								Chromosome	2024-03-10	CAXCFB01	75
Takin1.1	GCA_023091745.2	GCF_023091745.1	Budorcas taxicolor	Budorcas taxicolor					Tak-1	male		Chromosome	2022-04-22	JAKGDW01	1362
Takin1.1	GCF_023091745.1	GCA_023091745.2	Budorcas taxicolor	Budorcas taxicolor					Tak-1	male	GCF_023091745.1-RS_2023_02	Chromosome	2022-04-22	JAKGDW01	1362
NWIPB_Pralbi_1.0	GCA_046563475.2		Cervus albirostris	Cervus albirostris					WLD_BCL_ZDX	male		Chromosome	2025-01-08	JBEFZJ01	1972
ASM3987782v1	GCA_039877825.1		Muntiacus vaginalis	Muntiacus vaginalis					HNJ_1	female		Chromosome	2024-05-29	JBDIXW01	329
UCB_Mmun_1.0	GCA_008782695.1		Muntiacus muntjak	Muntiacus muntjak					UTSW_UCB_Mm	female	Annotation submitted by University of California, Berkeley	Chromosome	2019-10-07	VCEA01	25651
mRucEld1.hap2	GCA_054824845.1		Rucervus eldii thamin	Rucervus eldii					mRucEld1	female		Chromosome	2026-01-29	JBTVSE01	902
serow.2	GCA_032405125.2	GCF_032405125.1	Capricornis sumatraensis	Capricornis sumatraensis					serow.1	pooled male and female		Chromosome	2024-03-13	JAXIOT01	158
serow.2	GCF_032405125.1	GCA_032405125.2	Capricornis sumatraensis	Capricornis sumatraensis					serow.1	pooled male and female	GCF_032405125.1-RS_2024_10	Chromosome	2024-03-13	JAXIOT01	158
mCapNub1.hap1	GCA_054855995.1		Capra nubiana	Capra nubiana					mCapNub1	male		Chromosome	2026-01-30	JBTVNK01	226
TBG_Okapi_asm_v1	GCA_024291935.2		Okapia johnstoni	Okapia johnstoni					TBG_1119_Moyo	male		Chromosome	2022-07-16	JAGTYA01	3653
CapIbe1.0	GCA_054642885.1		Capra ibex	Capra ibex					Odissea	female	Annotation submitted by Istituto Italiano di Tecnologia	Chromosome	2026-01-07	JBIMMJ01	1037
CEY_v1	GCA_010411085.1		Cervus hanglu yarkandensis	Cervus hanglu					CEY-2017	male	Annotation submitted by Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences	Chromosome	2020-02-12	WMHW01	17927
ARS_Pied_mat1.0	GCA_946052875.1		Bos gaurus x Bos taurus	Bos gaurus x Bos taurus								Chromosome	2022-09-11	CAMGDQ01	996
mCepZeb1.hap1	GCA_054099735.1		Cephalophula zebra	Cephalophula zebra					mCepZeb1	female		Chromosome	2025-12-18	JBSLPA01	598
ASM2027666v1	GCA_020276665.1		Muntiacus crinifrons	Muntiacus crinifrons					NWPU-IOZ-01	female		Chromosome	2021-10-05	JAGTXS01	836
ASM1759144v1	GCA_017591445.1		Giraffa camelopardalis rothschildi	Giraffa camelopardalis						male		Chromosome	2021-03-30	JABCKX01	2096
ASM2237691v1	GCA_022376915.1	GCF_022376915.1	Moschus berezovskii	Moschus berezovskii				Sichuan	MB002			Scaffold	2022-02-23	JAIOJW01	2445
ASM2237691v1	GCF_022376915.1	GCA_022376915.1	Moschus berezovskii	Moschus berezovskii				Sichuan	MB002		GCF_022376915.1-RS_2023_04	Scaffold	2022-02-23	JAIOJW01	2445
Bison_UMD1.0	GCA_000754665.1	GCF_000754665.1	Bison bison bison	Bison bison					TAMUID 2011002044	male		Scaffold	2014-10-08	JPYT01	450181
Bison_UMD1.0	GCF_000754665.1	GCA_000754665.1	Bison bison bison	Bison bison					TAMUID 2011002044	male	NCBI Bison bison bison Annotation Release 100	Scaffold	2014-10-08	JPYT01	128430
ETH_BisBon1	GCA_963879515.1		Bison bonasus	Bison bonasus								Scaffold	2023-12-17	CAWOGG01	210
mAlcAlc2_p1.1	GCA_059051365.1		Alces alces	Alces alces					Moose01			Scaffold	2026-07-07	JBWVLP01	3848
ETH_CapCap1	GCA_951849835.1		Capreolus capreolus	Capreolus capreolus								Contig	2023-07-15	CATOUS01	212
O.moschatus_RAN27_v1.0	GCA_041156055.1		Ovibos moschatus	Ovibos moschatus					RAN-27	male	Annotation submitted by The Hospital for Sick Children	Scaffold	2024-08-09	JBFTXH01	221
miluL	GCA_021018665.1		Elaphurus davidianus	Elaphurus davidianus					milu-zoo-001	male		Scaffold	2021-12-01	JAJIZU01	46350
ASM5352537v1	GCA_053525375.1		Ovis vignei	Ovis vignei					RM-2025	male		Contig	2025-11-18	JBRERX01	1131
mAntAme2_p1.2	GCA_051176615.2		Antilocapra americana	Antilocapra americana		Pronghorn03						Scaffold	2026-04-30	JBPKRI02	645
ASM318261v2	GCA_003182615.2		Capra sibirica	Capra sibirica					CNS	male		Scaffold	2018-10-30	NIYN02	85609
ASM1292296v1	GCA_012922965.1		Capreolus pygargus	Capreolus pygargus					NDHX00028	male		Scaffold	2020-04-28	SNSB01	92048
MosMos_v2_BIUU_UCD	GCA_004024705.2		Moschus moschiferus	Moschus moschiferus					BS20			Scaffold	2019-07-15	PVHU02	1072499
synceruscaffer	GCA_902825105.1		Syncerus caffer	Syncerus caffer								Scaffold	2020-04-02	CADEAB01	3265
ASM402496v2	GCA_004024965.2		Tragulus javanicus	Tragulus javanicus					US108	male		Scaffold	2019-07-15	PVHZ02	1082489
ASM318257v1	GCA_003182575.1		Pseudois nayaur	Pseudois nayaur					QHXNZ	male		Scaffold	2018-05-31	NIZD01	214772
ORGONE_02	GCA_917880005.1		Nanger dama	Nanger dama								Scaffold	2021-11-18	CAKJTW01	1847
ASM5969876v1	GCA_059698765.1		Muntiacus feae	Muntiacus feae					K20-05002	male		Contig	2026-07-30	JAQQAB01	13004
SCBI_Odam_1.1	GCA_014754425.2	GCF_014754425.2	Oryx dammah	Oryx dammah					SB20612	male		Scaffold	2020-09-25	JABAEV01	9088
SCBI_Odam_1.1	GCF_014754425.2	GCA_014754425.2	Oryx dammah	Oryx dammah					SB20612	male	NCBI Oryx dammah Annotation Release 100	Scaffold	2020-09-25	JABAEV01	9088
ASM5043692v1	GCA_050436925.1		Pseudoryx nghetinhensis	Pseudoryx nghetinhensis					UCPH-9264	male		Scaffold	2025-05-19	JBNJRJ01	673
IMP	GCA_006408695.1		Aepyceros melampus	Aepyceros melampus					IMP-100			Scaffold	2019-06-24	SJXQ01	24102
BeaHun_v1_BIUU	GCA_004027495.1		Beatragus hunteri	Beatragus hunteri					BS46	female		Scaffold	2019-01-16	PVKQ01	535889
RusAlf_1.1	GCA_038501445.1		Rusa alfredi	Rusa alfredi					Abraham	male		Scaffold	2024-04-26	JBCEYX01	57916
MNHNYannick_LA_1	GCA_025584935.1		Bubalus depressicornis	Bubalus depressicornis					ANT3	male		Scaffold	2022-10-05	JAMXBS01	147450
PLG	GCA_006410515.1		Procapra przewalskii	Procapra przewalskii					PLG-pushi			Scaffold	2019-06-24	SJYF01	274130
ASM3850269v1	GCA_038502695.1		Capra falconeri	Capra falconeri					LEG3048_L3	male		Scaffold	2024-04-26	JAWPPH01	382444
SaiTat_v1_BIUU	GCA_004024985.1		Saiga tatarica	Saiga tatarica					BS49	male		Scaffold	2019-01-15	PVIK01	1772199
mTraEur1.1	GCA_935064755.1		Tragelaphus eurycerus	Tragelaphus eurycerus								Contig	2022-03-28	CAKXYN01	1863
Klec_v1.0	GCA_014926565.1		Kobus leche leche	Kobus leche					RL_v1.0	male		Scaffold	2020-10-23	JACEGT01	57712
SCBI_HNig_1.0	GCA_006942125.1		Hippotragus niger niger	Hippotragus niger					SB2152	male		Scaffold	2019-07-12	VHQK01	15557
ASM2237692v1	GCA_022376925.1		Tragulus kanchil	Tragulus kanchil					TJ002			Scaffold	2022-02-23	JAIOJX01	32
ASM2022602v1	GCA_020226025.1		Muntiacus gongshanensis	Muntiacus gongshanensis					NWPU-IOZ-03	female		Scaffold	2021-10-04	JAGTXU01	314
OvNiv1.0	GCA_903231385.1		Ovis nivicola lydekkeri	Ovis nivicola								Scaffold	2020-06-16	CAFBRR01	7157
TMG	GCA_006408755.1		Eudorcas thomsonii	Eudorcas thomsonii					TMG-4057			Scaffold	2019-06-24	SJYE01	123308
BWD	GCA_006408615.1		Connochaetes taurinus	Connochaetes taurinus					BWD-738			Scaffold	2019-06-24	SJXO01	78350
HemHyl_v1_BIUU	GCA_004026825.1		Nilgiritragus hylocrius	Nilgiritragus hylocrius					BS50	female		Scaffold	2019-01-16	PVJR01	469163
GRK	GCA_006410535.1		Litocranius walleri	Litocranius walleri					GRK-570			Scaffold	2019-06-24	SJYG01	79667
HVD	GCA_006410635.1		Cephalophus harveyi	Cephalophus harveyi					HVD-549			Scaffold	2019-06-24	SJYT01	85160
SUN	GCA_006410615.1		Neotragus moschatus	Neotragus moschatus					SUN-559			Scaffold	2019-06-24	SJYA01	218204
SGB	GCA_006408585.1		Antidorcas marsupialis	Antidorcas marsupialis					SGB-9149			Scaffold	2019-06-24	SJYB01	94522
KSP	GCA_006410675.1		Oreotragus oreotragus	Oreotragus oreotragus					KSP-560			Scaffold	2019-06-24	SJYX01	24892
BHR	GCA_006410935.1		Redunca redunca	Redunca redunca					BHR-557			Scaffold	2019-06-24	SJYQ01	534502
CTB	GCA_006408505.1		Damaliscus lunatus	Damaliscus lunatus					CTB-792			Scaffold	2019-06-24	SJXP01	92109
GTK	GCA_006410795.1		Tragelaphus strepsiceros	Tragelaphus strepsiceros					GTK-544			Scaffold	2019-06-24	SJYU01	320432
RAL	GCA_006410875.1		Neotragus pygmaeus	Neotragus pygmaeus					RAL-4837			Scaffold	2019-06-24	SJYV01	354089
BUB	GCA_006410495.1		Tragelaphus scriptus	Tragelaphus scriptus					BUB-555			Scaffold	2019-06-24	SJXY01	237860
KDD	GCA_006408675.1		Madoqua kirkii	Madoqua kirkii					KDD-541			Scaffold	2019-06-24	SJYC01	216116
DFW	GCA_006410655.1		Kobus ellipsiprymnus	Kobus ellipsiprymnus					DFW-375			Scaffold	2019-06-24	SJYR01	88848
SNB	GCA_006410735.1		Raphicerus campestris	Raphicerus campestris					SNB-1993			Scaffold	2019-06-24	SJYW01	57517
ASM975805v1	GCA_009758055.1		Oreamnos americanus	Oreamnos americanus					splAK2016	female		Scaffold	2019-12-16	WJNR01	3212
UCDavis_Ogaz_1	GCA_003945745.1		Oryx gazella	Oryx gazella					OR4864	female		Scaffold	2018-12-14	RAWW01	31177
LEK	GCA_006410775.1		Tragelaphus imberbis	Tragelaphus imberbis					LEK-543			Scaffold	2019-06-24	SJYM01	272415
MXD	GCA_006410695.1		Philantomba maxwellii	Philantomba maxwellii					MXD-5126			Scaffold	2019-06-24	SJYS01	25633
CMD	GCA_006408735.1		Sylvicapra grimmia	Sylvicapra grimmia					CMD-5126			Scaffold	2019-06-24	SJYH01	22324
GTG	GCA_006408635.1		Nanger granti	Nanger granti					GTG-3714			Scaffold	2019-06-24	SJYD01	62189
NPU_MCHR_1.0	GCA_006461725.1		Moschus chrysogaster	Moschus chrysogaster					WD2015			Scaffold	2019-06-25	SPDY01	127198
MTN	GCA_006411685.1		Tragelaphus buxtoni	Tragelaphus buxtoni					MTN-9119			Scaffold	2019-06-24	SJYJ01	2910462
CME	GCA_006416875.1		Tragelaphus oryx	Tragelaphus oryx					CME-1477			Scaffold	2019-06-24	SJYK01	4043025
ORB	GCA_006417275.1		Ourebia ourebi	Ourebia ourebi					ORB-4223			Scaffold	2019-06-24	SJXZ01	3508661
HBT	GCA_006408545.1		Alcelaphus buselaphus	Alcelaphus buselaphus					HBT-best			Scaffold	2019-06-24	SJXN01	539659
ASM5933614v1	GCA_059336145.1		Bos taurus	Bos taurus	Xieka cattle					female		Complete Genome	2026-07-13	JBXFYI01	30
NLFDP_OvArieNajdiFemle_T2T_1.0	GCA_057332215.1		Ovis aries	Ovis aries	Najdi sheep				Najdi1271-Female	female		Complete Genome	2026-05-07	JBXADF01	27
T2T-sheep1.0	GCA_040805955.1		Ovis aries	Ovis aries	hu sheep				hu3095	male	Annotation submitted by China Agricultural University	Complete Genome	2024-07-22		28
NLFDP_OvArieNajdiMale_T2T_1.0	GCA_057332225.1		Ovis aries	Ovis aries	Najdi sheep				Najdi1268-Male	male		Complete Genome	2026-05-07	JBXADG01	28
T2T-goat1.0	GCA_040806595.1		Capra hircus	Capra hircus	Inner Mongolia cashmere goat					male	Annotation submitted by China Agricultural University	Complete Genome	2024-07-22		31
T2T-goat2.0	GCA_041735815.1		Capra hircus	Capra hircus	Inner Mongolia cashmere goat					male	GCA_041735815.1-GB_2026_05_13	Complete Genome	2024-09-04		31
T2T-mGirTip1v1.2.pat	GCA_054371615.1		Giraffa tippelskirchi	Giraffa tippelskirchi					mGirTip1	male		Complete Genome	2026-01-06	JBRKMB01	15
Guyuan_Btau_1.0	GCA_051106085.1		Bos taurus	Bos taurus	Guyuan cattle				GY063	male		Chromosome	2025-06-26	JBKSDG01	30
T2T-sheep1.0M	GCA_041121725.1		Ovis aries	Ovis aries	Hu sheep				HU3095-Mother	female	Annotation submitted by China Agricultural University	Chromosome	2024-07-24		27
T2T-goat2.0M	GCA_040970035.1		Capra hircus	Capra hircus	Inner Mongolia cashmere goat					male		Chromosome	2024-07-31		30
T2T-goat1.0M	GCA_041736475.1		Capra hircus	Capra hircus	Inner Mongolia cashmere goat					male	Annotation submitted by China Agricultural University	Chromosome	2024-09-04		30
ASM4082201v1	GCA_040822015.1		Capra hircus	Capra hircus	Inner Mongolia Cashmere goat				AEBS_806099	male		Chromosome	2024-07-23		31
ASM296843v1	GCA_002968435.1		Bos mutus	Bos mutus					yakQH1	female		Chromosome	2018-03-05		30
CAU_F1_paternal_1.0	GCA_023701655.1		Ovis ammon polii x Ovis aries	Ovis ammon polii x Ovis aries					F1 hybrid	male	Annotation submitted by China Agricultural University	Chromosome	2022-06-10	JALAIX01	28
T2T-mGirTip1v1.2.alt	GCA_054371575.1		Giraffa tippelskirchi	Giraffa tippelskirchi					mGirTip1	male		Chromosome	2026-01-06	JBRKMD01	14
T2T-mGirTip1v1.2.mat	GCA_054371825.1		Giraffa tippelskirchi	Giraffa tippelskirchi					mGirTip1	male		Chromosome	2026-01-06	JBRKMA01	15
UOA_Wagyu_1	GCA_040286185.1		Bos taurus	Bos taurus	Wagyu				3DWFS0412	female		Chromosome	2024-06-25	JBEFCR01	401
ASM4388211v1	GCA_043882115.1		Bos taurus	Bos taurus	Mongolian cattle				80415	male		Chromosome	2024-10-28	JBFSJU01	46
ASM4765221v1	GCA_047652215.1		Bos taurus	Bos taurus	Tibetan					male		Chromosome	2025-02-11	JAMZRG01	59
UOA_Tuli_1	GCA_040285425.1		Bos taurus	Bos taurus	Tuli				MAZUNGA	male		Chromosome	2024-06-25	JBEFCS01	878
NRF	GCA_963921495.1		Bos taurus	Bos taurus								Chromosome	2024-06-26	CAWUFT01	715
NR2025_2P	GCA_977970235.1		Bos taurus	Bos taurus								Chromosome	2025-12-20	CDWWTE01	1171
YB_JAAS	GCA_051122635.1		Bos taurus	Bos taurus	Yanbian cattle					male		Chromosome	2025-06-27	JBPCCZ01	79
CRS_JAAS	GCA_059997585.1		Bos taurus	Bos taurus	Chinese red steppe cattle				WF-2026a	male		Chromosome	2026-08-11	JCBPQG01	351
NR2025_3P	GCA_977927255.1		Bos taurus	Bos taurus								Chromosome	2025-12-17	CDWRBM01	1172
seqoccin.Bt.char.v1.0	GCA_947034695.1		Bos taurus	Bos taurus		mammals						Chromosome	2022-10-29	CAMQPY01	1391
NR2025_1P	GCA_977927265.1		Bos taurus	Bos taurus								Chromosome	2025-12-17	CDWRBK01	610
NR2025_1M	GCA_977927225.1		Bos taurus	Bos taurus								Chromosome	2025-12-17	CDWRBO01	568
NR2025_3M	GCA_977927285.1		Bos taurus	Bos taurus								Chromosome	2025-12-17	CDWRBN01	723
NR2025_2M	GCA_977927245.1		Bos taurus	Bos taurus								Chromosome	2025-12-17	CDWRBL01	626
SNU_Hanwoo_2.0	GCA_028973685.2		Bos taurus	Bos taurus	Hanwoo				HWB-2050	male		Chromosome	2023-09-22	JARDUZ02	1598
ARS-LIC_NZ_Jersey	GCA_021234555.1		Bos taurus	Bos taurus	Jersey				LICJ1	male		Chromosome	2021-12-20	JAJQWI01	228
ASM3988117v1	GCA_039881175.1		Bos taurus	Bos taurus	Mongolian				NMG016	male		Chromosome	2024-05-29	JAMBMV01	391
YAU_Btau_1.0	GCA_034097375.1		Bos taurus	Bos taurus	Yunling cattle				YAU-DSJ-ZCW-2023a	male		Chromosome	2023-12-05	JAWKDW01	826
ROSLIN_BTI_ANK1	GCA_905123885.1		Bos taurus	Bos taurus								Chromosome	2022-02-18	CAJHOP01	7580
ROSLIN_BTT_NDA1	GCA_905123515.1		Bos taurus	Bos taurus								Chromosome	2022-02-18	CAJHOO01	1209
ARS-LIC_NZ_Holstein-Friesian_1	GCA_021347905.1		Bos taurus	Bos taurus	Holstein-Friesian				LICNZHF1	male		Chromosome	2022-01-11	JAJQWL01	2305
ASM3343944v1	GCA_033439445.1		Ovis aries	Ovis aries	East Friesian sheep				LY-2023	female		Chromosome	2023-11-09	JAWMPZ01	190
ASM2241691v1	GCA_022416915.1		Ovis aries	Ovis aries	Polled Dorset sheep				DOR1	female		Chromosome	2022-03-10	JAKJQM01	1242
NWAFU_Friesian_1.0	GCA_018804185.1		Ovis aries	Ovis aries	East Friesian				EastFriesian_391	male		Chromosome	2021-06-09	JAGTAQ01	937
ASM4054305v1	GCA_040543055.1		Ovis aries	Ovis aries	Awassi					female		Chromosome	2024-07-08	JBDLWQ01	190
ASM2243283v1	GCA_022432835.1		Ovis aries	Ovis aries	Kermani sheep				KER1	male		Chromosome	2022-03-10	JAKJQN01	1545
ASM2241675v1	GCA_022416755.1		Ovis aries	Ovis aries	Ujimqin sheep				UJQ1	female		Chromosome	2022-03-10	JAKJQI01	1440
ASM2241668v1	GCA_022416685.1		Ovis aries	Ovis aries	Qiaoke sheep				QK1	female		Chromosome	2022-03-10	JAKJQF01	1562
CAU_O.aries_1.0	GCA_017524585.1		Ovis aries	Ovis aries	Tibetan sheep					female	Annotation submitted by China Agricultural University	Chromosome	2021-03-24	JAEMGP01	58
ASM2422226v1	GCA_024222265.1		Ovis aries	Ovis aries	Waggir sheep				WAG1	female		Chromosome	2022-07-13	JAMHGE01	772
ASM2243284v1	GCA_022432845.1		Ovis aries	Ovis aries	Kazak sheep				KAZ1	female		Chromosome	2022-03-10	JAKJQP01	1765
