assembly_accession	assembly_name	organism_name	species_key	assembly_level	status	candidate_id	contig	strand	start	end	span	exon_count	coverage_sum	order_coherence	bitscore_sum	score	locus_length	locus_n_count	locus_n_fraction	locus_n_runs	locus_longest_n_run	error
GCA_002742125.1	Oar_rambouillet_v1.0	Ovis aries	Ovis aries	Chromosome	ok	CM008479.1:+:1	CM008479.1	+	23182141.0	23202443.0	20303.0	6.0	5.816526825567228	1.0	2725.0	8517.458047670169	40303.0	0.0	0.0	0.0	0.0	
GCA_002933975.1	ASM293397v1	Bos indicus	Bos indicus	Chromosome	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_002933975.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_002933975.1/GCA_002933975.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_002968435.1	ASM296843v1	Bos mutus	Bos mutus	Chromosome	ok	CP027077.1:+:1	CP027077.1	+	33929176.0	33948843.0	19668.0	6.0	5.733324165019926	1.0	3175.0	8537.497249505977	39668.0	832.0	0.020974084904709086	3.0	795.0	
GCA_002993835.1	ASM299383v1	Bubalus bubalis	Bubalus bubalis	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_002993835.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_002993835.1/GCA_002993835.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_003121395.1	UOA_WB_1	Bubalus bubalis	Bubalus bubalis	Chromosome	ok	CM009849.1:-:1	CM009849.1	-	70543094.0	70562959.0	19866.0	4.0	3.9584826762246115	1.0	2594.0	5946.944802867383	39866.0	0.0	0.0	0.0	0.0	
GCA_003121645.1	O_ammon_KGZ_v1.0	Ovis ammon	Ovis ammon	Scaffold	ok	NIWH01036681.1:+:1	NIWH01036681.1	+	63225176.0	63225340.0	165.0	0.0	0.14798206278026907	0.5	104.0	304.7946188340807	20165.0	4.0	0.0001983635011157947	4.0	1.0	
GCA_003182575.1	ASM318257v1	Pseudois nayaur	Pseudois nayaur	Scaffold	ok	NIZD01063741.1:+:1	NIZD01063741.1	+	1352.0	21159.0	19808.0	6.0	5.887046161514181	1.0	2661.0	8532.213848454254	30863.0	0.0	0.0	0.0	0.0	
GCA_003182615.2	ASM318261v2	Capra sibirica	Capra sibirica	Scaffold	ok	NIYN02039830.1:+:1	NIYN02039830.1	+	5438466.0	5458300.0	19835.0	6.0	5.9292028819052565	1.0	2697.0	8548.460864571578	39835.0	13.0	0.00032634617798418477	3.0	11.0	
GCA_003369685.2	UOA_Angus_1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_003369685.2', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_003369685.2/GCA_003369685.2.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_003369695.2	UOA_Brahman_1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Chromosome	ok	CM011812.1:+:1	CM011812.1	+	33908728.0	33928636.0	19909.0	6.0	5.855389892719457	1.0	3240.0	8580.616967815837	39909.0	0.0	0.0	0.0	0.0	
GCA_003697985.1	ASM369798v1	Odocoileus hemionus sitkensis	Odocoileus hemionus	Scaffold	ok	RFLZ01133879.1:+:1	RFLZ01133879.1	+	9823.0	25062.0	15240.0	4.0	3.843231208557185	1.0	1519.0	5804.869362567155	25382.0	0.0	0.0	0.0	0.0	
GCA_003798545.1	ASM379854v1	Axis porcinus	Axis porcinus	Scaffold	ok	QQTR01081902.1:-:1	QQTR01081902.1	-	152853.0	172552.0	19700.0	6.0	5.961007648819422	1.0	2725.0	8560.802294645826	39700.0	1.0	2.5188916876574308e-05	1.0	1.0	
GCA_003945745.1	UCDavis_Ogaz_1	Oryx gazella	Oryx gazella	Scaffold	ok	RAWW01004924.1:+:1	RAWW01004924.1	+	1659791.0	1683238.0	23448.0	6.0	5.933437914091501	1.0	2718.0	8551.83137422745	43448.0	3082.0	0.0709353710182287	4.0	1617.0	
GCA_004024705.2	MosMos_v2_BIUU_UCD	Moschus moschiferus	Moschus moschiferus	Scaffold	ok	PVHU020000109.1:+:1	PVHU020000109.1	+	13482893.0	13506841.0	23949.0	6.0	5.214737979801516	1.0	3105.9	8375.011393940455	43949.0	3000.0	0.06826093881544518	3.0	1000.0	
GCA_004024965.2	ASM402496v2	Tragulus javanicus	Tragulus javanicus	Scaffold	ok	PVHZ020005339.1:+:1	PVHZ020005339.1	+	9925893.0	9935662.0	9770.0	4.0	3.2573389009369373	1.0	1458.3	5623.0316702810815	29770.0	0.0	0.0	0.0	0.0	
GCA_004024985.1	SaiTat_v1_BIUU	Saiga tatarica	Saiga tatarica	Scaffold	ok	PVIK010043285.1:+:1	PVIK010043285.1	+	779.0	11916.0	11138.0	3.0	2.652582159624413	1.0	1327.0	4428.474647887324	11916.0	0.0	0.0	0.0	0.0	
GCA_004026565.1	RanTarSib_v1_BIUU	Rangifer tarandus	Rangifer tarandus	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_004026565.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_004026565.1/GCA_004026565.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_004026825.1	HemHyl_v1_BIUU	Nilgiritragus hylocrius	Nilgiritragus hylocrius	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_004026825.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_004026825.1/GCA_004026825.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_004026945.1	OviCan_v1_BIUU	Ovis canadensis	Ovis canadensis	Scaffold	ok	PVIS010022800.1:+:1	PVIS010022800.1	+	2338.0	22093.0	19756.0	6.0	5.81174785304632	1.0	2699.0	8513.424355913896	32093.0	0.0	0.0	0.0	0.0	
GCA_004027495.1	BeaHun_v1_BIUU	Beatragus hunteri	Beatragus hunteri	Scaffold	ok	PVKQ01017729.1:+:1	PVKQ01017729.1	+	25011.0	44873.0	19863.0	6.0	5.918707057046438	1.0	2648.0	8540.41211711393	34769.0	0.0	0.0	0.0	0.0	
GCA_004027515.2	AntAmePen_v2_BIUU_UCD	Antilocapra americana	Antilocapra americana	Scaffold	ok	PVKT020013607.1:-:1	PVKT020013607.1	-	25914268.0	25933403.0	19136.0	6.0	5.961927255808434	1.0	3178.0	8606.37817674253	39136.0	0.0	0.0	0.0	0.0	
GCA_004115125.1	UofA_Ohem_1.0	Odocoileus hemionus hemionus	Odocoileus hemionus	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_004115125.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_004115125.1/GCA_004115125.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_004361675.1	CVASU_BBG_1.0	Capra hircus	Capra hircus	Chromosome	ok	CM015216.1:+:1	CM015216.1	+	23179234.0	23201042.0	21809.0	6.0	5.821507726504512	1.0	2518.0	8498.252317951354	41809.0	8715.0	0.2084479418307063	50.0	1545.0	
GCA_004794615.1	Bubbub1.0	Bubalus bubalis	Bubalus bubalis	Scaffold	ok	ML220492.1:+:1	ML220492.1	+	991604.0	1011643.0	20040.0	4.0	3.9584826762246115	1.0	2594.0	5946.944802867383	40040.0	4912.0	0.12267732267732268	4.0	2366.0	
GCA_005887515.3	BosGru3.1	Bos grunniens	Bos grunniens	Chromosome	ok	CM016699.1:-:1	CM016699.1	-	58150866.0	58172244.0	21379.0	6.0	5.733324165019926	1.0	3175.0	8537.497249505977	41379.0	0.0	0.0	0.0	0.0	
GCA_006408465.1	WLD	Cervus albirostris	Cervus albirostris	Scaffold	ok	SJXR01000318.1:-:1	SJXR01000318.1	-	1989986.0	2006329.0	16344.0	5.0	4.957718175135211	1.0	2638.0	7251.115452540564	36344.0	1.0	2.7514858023332598e-05	1.0	1.0	
GCA_006408485.1	BMJ	Muntiacus crinifrons	Muntiacus crinifrons	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006408485.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006408485.1/GCA_006408485.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006408505.1	CTB	Damaliscus lunatus	Damaliscus lunatus	Scaffold	ok	SJXP01001581.1:+:1	SJXP01001581.1	+	302021.0	321866.0	19846.0	6.0	5.919901800176666	1.0	2691.0	8545.070540053	39846.0	2832.0	0.07107363348893239	1.0	2832.0	
GCA_006408525.1	CIJ	Muntiacus reevesi	Muntiacus reevesi	Scaffold	ok	SJXT01007634.1:-:1	SJXT01007634.1	-	2289.0	22321.0	20033.0	6.0	5.833787281944633	1.0	2791.0	8529.23618458339	32321.0	0.0	0.0	0.0	0.0	
GCA_006408545.1	HBT	Alcelaphus buselaphus	Alcelaphus buselaphus	Scaffold	ok	SJXN01003835.1:+:1	SJXN01003835.1	+	1.0	4997.0	4997.0	2.0	1.4488972206501918	1.0	738.0	3008.469166195058	13916.0	11728.0	0.8427709111813739	4.0	6360.0	
GCA_006408565.1	GFE	Giraffa camelopardalis	Giraffa camelopardalis	Scaffold	ok	SJXV01008267.1:-:1	SJXV01008267.1	-	2228444.0	2248655.0	20212.0	6.0	5.971316927169937	1.0	3521.0	8643.495078150981	40212.0	718.0	0.017855366557246594	4.0	354.0	
GCA_006408585.1	SGB	Antidorcas marsupialis	Antidorcas marsupialis	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006408585.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006408585.1/GCA_006408585.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006408615.1	BWD	Connochaetes taurinus	Connochaetes taurinus	Scaffold	ok	SJXO01006261.1:+:1	SJXO01006261.1	+	15112.0	34839.0	19728.0	6.0	5.9044378826508925	1.0	2678.0	8539.131364795267	39728.0	1.0	2.5171163914619413e-05	1.0	1.0	
GCA_006408635.1	GTG	Nanger granti	Nanger granti	Scaffold	ok	SJYD01050842.1:+:1	SJYD01050842.1	+	536381.0	554107.0	17727.0	4.0	4.0	1.0	2688.0	5968.8	37727.0	8704.0	0.23071010151880617	13.0	1795.0	
GCA_006408655.1	LMD	Tragulus kanchil	Tragulus kanchil	Scaffold	ok	SJXW01001224.1:+:1	SJXW01001224.1	+	86360.0	96986.0	10627.0	2.0	1.922680412371134	1.0	1261.0	3202.90412371134	30627.0	7348.0	0.23991902569628107	6.0	3065.0	
GCA_006408675.1	KDD	Madoqua kirkii	Madoqua kirkii	Scaffold	ok	SJYC01036033.1:+:1	SJYC01036033.1	+	14969.0	30853.0	15885.0	4.0	3.8969072164948453	1.0	1664.0	5835.472164948453	28049.0	0.0	0.0	0.0	0.0	
GCA_006408695.1	IMP	Aepyceros melampus	Aepyceros melampus	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006408695.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006408695.1/GCA_006408695.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006408735.1	CMD	Sylvicapra grimmia	Sylvicapra grimmia	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006408735.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006408735.1/GCA_006408735.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006408755.1	TMG	Eudorcas thomsonii	Eudorcas thomsonii	Scaffold	ok	SJYE01001448.1:+:1	SJYE01001448.1	+	975197.0	990846.0	15650.0	5.0	4.865385451238701	1.0	2844.0	7244.01563537161	35650.0	1.0	2.8050490883590464e-05	1.0	1.0	
GCA_006408785.2	ASM640878v2	Syncerus caffer	Syncerus caffer	Scaffold	ok	SJXX02093715.1:+:1	SJXX02093715.1	+	2396168.0	2411485.0	15318.0	4.0	3.9584826762246115	1.0	2574.0	5944.944802867383	35318.0	95.0	0.0026898465371765104	7.0	89.0	
GCA_006409035.1	CMJ	Muntiacus muntjak	Muntiacus muntjak	Scaffold	ok	SJXU01024218.1:+:1	SJXU01024218.1	+	16148770.0	16164910.0	16141.0	5.0	4.835354477173702	1.0	2511.0	7201.706343152111	36141.0	314.0	0.008688193464486318	5.0	169.0	
GCA_006410495.1	BUB	Tragelaphus scriptus	Tragelaphus scriptus	Scaffold	ok	SJXY01008133.1:+:1	SJXY01008133.1	+	636282.0	651809.0	15528.0	4.0	3.5705773643449583	1.0	1555.0	5726.673209303488	35528.0	5046.0	0.14202882233731143	4.0	3719.0	
GCA_006410515.1	PLG	Procapra przewalskii	Procapra przewalskii	Scaffold	ok	SJYF01000162.1:-:1	SJYF01000162.1	-	1502159.0	1523688.0	21530.0	6.0	5.75738730130478	1.0	3095.0	8536.716190391435	41530.0	194.0	0.004671321935949916	2.0	134.0	
GCA_006410535.1	GRK	Litocranius walleri	Litocranius walleri	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006410535.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006410535.1/GCA_006410535.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006410555.1	IBX	Capra ibex	Capra ibex	Scaffold	ok	SJYO01026388.1:+:1	SJYO01026388.1	+	20038537.0	20058371.0	19835.0	6.0	5.9292028819052565	1.0	2697.0	8548.460864571578	39835.0	13.0	0.00032634617798418477	3.0	11.0	
GCA_006410575.1	GMB	Oryx gazella	Oryx gazella	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006410575.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006410575.1/GCA_006410575.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006410595.1	AGL	Ovis ammon	Ovis ammon	Scaffold	ok	SJYP01000280.1:+:1	SJYP01000280.1	+	2267801.0	2288093.0	20293.0	6.0	5.816526825567228	1.0	2726.0	8517.558047670169	40293.0	605.0	0.015015015015015015	1.0	605.0	
GCA_006410615.1	SUN	Neotragus moschatus	Neotragus moschatus	Scaffold	ok	SJYA01001425.1:+:1	SJYA01001425.1	+	850225.0	886525.0	36301.0	6.0	5.8840637278449055	1.0	3038.0	8569.019118353472	56301.0	120.0	0.0021314008632173495	7.0	114.0	
GCA_006410635.1	HVD	Cephalophus harveyi	Cephalophus harveyi	Scaffold	ok	SJYT01007205.1:-:1	SJYT01007205.1	-	186708.0	206215.0	19508.0	6.0	5.842082740689045	1.0	2774.0	8530.024822206713	39508.0	1.0	2.5311329351017516e-05	1.0	1.0	
GCA_006410655.1	DFW	Kobus ellipsiprymnus	Kobus ellipsiprymnus	Scaffold	ok	SJYR01001915.1:+:1	SJYR01001915.1	+	38777.0	59220.0	20444.0	6.0	5.827078626657778	1.0	2665.0	8514.623587997334	40444.0	2584.0	0.0638908119869449	4.0	1337.0	
GCA_006410675.1	KSP	Oreotragus oreotragus	Oreotragus oreotragus	Scaffold	ok	SJYX01007479.1:+:1	SJYX01007479.1	+	103622.0	126783.0	23162.0	4.0	3.989545997610514	1.0	2368.0	5933.663799283154	43162.0	2.0	4.633705574347806e-05	2.0	1.0	
GCA_006410695.1	MXD	Philantomba maxwellii	Philantomba maxwellii	Scaffold	error																	CalledProcessError: Command '['/usr/local/bin/datasets', 'download', 'genome', 'accession', 'GCA_006410695.1', '--include', 'genome', '--filename', '/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/cache/genomes/GCA_006410695.1/GCA_006410695.1.zip', '--no-progressbar']' returned non-zero exit status 1.
GCA_006410735.1	SNB	Raphicerus campestris	Raphicerus campestris	Scaffold	ok	SJYW01003942.1:+:1	SJYW01003942.1	+	181593.0	199393.0	17801.0	4.0	3.774841488795315	1.0	1727.0	5805.1524466385945	37801.0	8635.0	0.22843311023517895	10.0	8626.0	
GCA_006410755.1	BNG	Tragelaphus eurycerus	Tragelaphus eurycerus	Scaffold	ok	SJYI010057088.1:+:1	SJYI010057088.1	+	4402.0	27846.0	23445.0	6.0	5.429893146205221	1.0	2854.0	8414.367943861565	29585.0	5212.0	0.17617035659962818	17.0	682.0	
GCA_006410775.1	LEK	Tragelaphus imberbis	Tragelaphus imberbis	Scaffold	ok	SJYM01001015.1:+:1	SJYM01001015.1	+	5277973.0	5309024.0	31052.0	6.0	5.680094270982721	1.0	2936.0	8497.628281294817	51052.0	11368.0	0.2226749196897281	6.0	6699.0	
GCA_006410795.1	GTK	Tragelaphus strepsiceros	Tragelaphus strepsiceros	Scaffold	ok	SJYU01002727.1:+:1	SJYU01002727.1	+	651444.0	668558.0	17115.0	5.0	4.865368603488947	1.0	2778.8	7237.490581046684	37115.0	1216.0	0.0327630338138219	2.0	703.0	
GCA_006410875.1	RAL	Neotragus pygmaeus	Neotragus pygmaeus	Scaffold	ok	SJYV01034294.1:+:1	SJYV01034294.1	+	690615.0	709201.0	18587.0	5.0	4.991935483870968	1.0	2909.0	7288.48064516129	38587.0	677.0	0.017544768963640604	10.0	668.0	
GCA_006410935.1	BHR	Redunca redunca	Redunca redunca	Scaffold	ok	SJYQ01104328.1:+:1	SJYQ01104328.1	+	841518.0	861595.0	20078.0	6.0	5.827289157405794	1.0	2696.0	8517.786747221739	40078.0	0.0	0.0	0.0	0.0	
GCA_006411015.1	STG	Tragelaphus spekii	Tragelaphus spekii	Scaffold	ok	SJYL010004343.1:+:1	SJYL010004343.1	+	423158.0	444644.0	21487.0	5.0	4.680991131969268	1.0	2684.0	7172.69733959078	41487.0	2902.0	0.06994962277339889	4.0	2899.0	
GCA_006411685.1	MTN	Tragelaphus buxtoni	Tragelaphus buxtoni	Scaffold	ok	SJYJ010269994.1:-:1	SJYJ010269994.1	-	1569.0	13660.0	12092.0	3.0	2.450934364134133	1.0	1435.0	4378.78030924024	15530.0	3400.0	0.2189311010946555	10.0	513.0	
GCA_006416875.1	CME	Tragelaphus oryx	Tragelaphus oryx	Scaffold	ok	SJYK013548557.1:+:1	SJYK013548557.1	+	312.0	1343.0	1032.0	1.0	0.9542600896860987	0.5	1140.0	1650.2780269058296	1415.0	0.0	0.0	0.0	0.0	
GCA_006417275.1	ORB	Ourebia ourebi	Ourebia ourebi	Scaffold	ok	SJXZ013217770.1:-:1	SJXZ013217770.1	-	261.0	1340.0	1080.0	1.0	1.0	0.5	1254.0	1675.4	1869.0	0.0	0.0	0.0	0.0	
GCA_006459085.1	FMD	Moschus berezovskii	Moschus berezovskii	Scaffold	ok	SGQJ01003285.1:-:1	SGQJ01003285.1	-	304186.0	325405.0	21220.0	6.0	5.843277483819271	1.0	3328.0	8585.78324514578	41220.0	0.0	0.0	0.0	0.0	
GCA_006459105.1	NPU_HINE_1.0	Hydropotes inermis	Hydropotes inermis	Scaffold	ok	SPDZ01000796.1:-:1	SPDZ01000796.1	-	280300.0	299599.0	19300.0	6.0	5.80385096052178	1.0	2777.0	8518.855288156534	39300.0	10.0	0.0002544529262086514	1.0	10.0	
GCA_006461545.1	NPU_MBRE_1.0	Moschus berezovskii	Moschus berezovskii	Scaffold	ok	SPDX01004596.1:+:1	SPDX01004596.1	+	698560.0	732985.0	34426.0	6.0	5.849251199470406	1.0	3333.0	8588.075359841121	54426.0	120.0	0.0022048285745783266	10.0	111.0	
