taxon_id	species	role	status	accession	source
Antilocapra_americana	Antilocapra americana	loss_or_special_focus	DISRUPTED_HIGH	GCA_051176575.2	first_pass_reference_anchored_remnant
Bos_grunniens	Bos grunniens	loss_or_special_focus	DISRUPTED_HIGH	GCA_005887515.3	first_pass_plus_refiner_sensitive_remnant
Cervus_albirostris	Cervus albirostris	loss_or_special_focus	DISRUPTED_LIKELY	GCA_046563475.2	first_pass_plus_refiner_sensitive_remnant
Muntiacus_crinifrons	Muntiacus crinifrons	loss_or_special_focus	DISRUPTED_HIGH	GCA_020226055.1	first_pass_plus_refiner_sensitive_remnant
Muntiacus_reevesi	Muntiacus reevesi	loss_or_special_focus	DISRUPTED_HIGH	GCA_020226045.1	first_pass_plus_refiner_sensitive_remnant
Giraffa_camelopardalis	Giraffa camelopardalis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_017591445.1	first_pass_reference_anchored_remnant
Tragulus_kanchil	Tragulus kanchil	loss_or_special_focus	DISRUPTED_LIKELY	GCA_022376925.1	first_pass_reference_anchored_remnant
Syncerus_caffer	Syncerus caffer	loss_or_special_focus	DISRUPTED_LIKELY	GCA_902825105.1	first_pass_plus_refiner_sensitive_remnant
Capra_ibex	Capra ibex	loss_or_special_focus	DISRUPTED_LIKELY	GCA_054642885.1	first_pass_reference_anchored_remnant
Tragelaphus_eurycerus	Tragelaphus eurycerus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_935064755.1	first_pass_plus_refiner_sensitive_remnant
Moschus_berezovskii	Moschus berezovskii	loss_or_special_focus	DISRUPTED_HIGH	GCA_049115385.1	first_pass_plus_refiner_sensitive_remnant
Hydropotes_inermis	Hydropotes inermis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_056247825.1	first_pass_plus_refiner_sensitive_remnant
Alces_alces	Alces alces	loss_or_special_focus	DISRUPTED_HIGH	GCA_964270355.1	first_pass_plus_refiner_sensitive_remnant
Bos_frontalis	Bos frontalis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_043643345.1	first_pass_plus_refiner_sensitive_remnant
Bos_grunniens_x_Bos_taurus	Bos grunniens x Bos taurus	loss_or_special_focus	DISRUPTED_HIGH	GCA_009493655.1	first_pass_reference_anchored_remnant
Bos_gaurus	Bos gaurus	loss_or_special_focus	DISRUPTED_HIGH	GCA_014182915.2	first_pass_reference_anchored_remnant
Ovis_orientalis	Ovis orientalis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_014523465.1	first_pass_plus_refiner_sensitive_remnant
Oryx_dammah	Oryx dammah	loss_or_special_focus	DISRUPTED_HIGH	GCA_014754425.2	first_pass_plus_refiner_sensitive_remnant
Bos_taurus_x_Bison_bison	Bos taurus x Bison bison	loss_or_special_focus	DISRUPTED_HIGH	GCA_018282465.1	first_pass_reference_anchored_remnant
Addax_nasomaculatus	Addax nasomaculatus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_044231825.1	first_pass_plus_refiner_sensitive_remnant
Nanger_dama	Nanger dama	loss_or_special_focus	DISRUPTED_LIKELY	GCA_917880005.1	first_pass_plus_refiner_sensitive_remnant
Muntiacus_gongshanensis	Muntiacus gongshanensis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_020226025.1	first_pass_plus_refiner_sensitive_remnant
Ovibos_moschatus	Ovibos moschatus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_041156055.1	first_pass_reference_anchored_remnant
Budorcas_taxicolor	Budorcas taxicolor	loss_or_special_focus	DISRUPTED_HIGH	GCA_023091745.2	first_pass_reference_anchored_remnant
Ovis_ammon_polii_x_Ovis_aries	Ovis ammon polii x Ovis aries	loss_or_special_focus	DISRUPTED_HIGH	GCA_023701655.1	first_pass_plus_refiner_sensitive_remnant
Bubalus_kerabau	Bubalus kerabau	loss_or_special_focus	DISRUPTED_HIGH	GCA_029407905.2	first_pass_plus_refiner_sensitive_remnant
Capricornis_sumatraensis	Capricornis sumatraensis	loss_or_special_focus	DISRUPTED_HIGH	GCA_032405125.2	first_pass_reference_anchored_remnant
Bos_javanicus	Bos javanicus	loss_or_special_focus	DISRUPTED_HIGH	GCA_032452875.1	first_pass_reference_anchored_remnant
Dama_dama	Dama dama	loss_or_special_focus	DISRUPTED_HIGH	GCA_033118175.2	first_pass_plus_refiner_sensitive_remnant
Cervus_nippon	Cervus nippon	loss_or_special_focus	DISRUPTED_HIGH	GCA_054829135.1	first_pass_plus_refiner_sensitive_remnant
Rucervus_eldii	Rucervus eldii	loss_or_special_focus	DISRUPTED_HIGH	GCA_054824845.1	first_pass_plus_refiner_sensitive_remnant
Muntiacus_vaginalis	Muntiacus vaginalis	loss_or_special_focus	DISRUPTED_LIKELY	GCA_039877825.1	first_pass_plus_refiner_sensitive_remnant
Ovis_vignei	Ovis vignei	loss_or_special_focus	DISRUPTED_HIGH	GCA_050084595.1	first_pass_plus_refiner_sensitive_remnant
Cephalophula_zebra	Cephalophula zebra	loss_or_special_focus	DISRUPTED_HIGH	GCA_054099735.1	first_pass_reference_anchored_remnant
Capra_nubiana	Capra nubiana	loss_or_special_focus	DISRUPTED_HIGH	GCA_054855995.1	first_pass_reference_anchored_remnant
Muntiacus_feae	Muntiacus feae	loss_or_special_focus	DISRUPTED_LIKELY	GCA_059698765.1	first_pass_plus_refiner_sensitive_remnant
Ovis_nivicola	Ovis nivicola	loss_or_special_focus	DISRUPTED_LIKELY	GCA_903231385.1	first_pass_plus_refiner_sensitive_remnant
Bos_gaurus_x_Bos_taurus	Bos gaurus x Bos taurus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_946052875.1	first_pass_reference_anchored_remnant
Bison_bonasus	Bison bonasus	loss_or_special_focus	DISRUPTED_LIKELY	GCA_963879515.1	first_pass_plus_refiner_sensitive_remnant
Rupicapra_rupicapra	Rupicapra rupicapra	loss_or_special_focus	DISRUPTED_LIKELY	GCA_963981305.1	first_pass_plus_refiner_sensitive_remnant
